Magnitude,Uncertainty,Kmag,Cmag,Comp Star 1,Comp Star 2
350,,,,-1,-1
352,,,,-1,-1
352,,,,-1,-1
350,,,,-1,-1
350,,,,-1,-1
350,,,,-1,-1
375,,,,-1,-1
374,,,,-1,-1
374,,,,-1,-1
375,,,,-1,-1
374,,,,-1,-1
374,,,,-1,-1
374,,,,-1,-1
374,,,,-1,-1
374,,,,-1,-1
374,,,,-1,-1
374,,,,-1,-1
374,,,,-1,-1
374,,,,-1,-1
370,,,,-1,-1
370,,,,-1,-1
374,,,,-1,-1
370,,,,-1,-1
374,,,,-1,-1
380,,,,-1,-1
370,,,,-1,-1
383,,,,-1,-1
370,,,,-1,-1
379,,,,-1,-1
374,,,,-1,-1
374,,,,-1,-1
380,,,,-1,-1
374,,,,-1,-1
366,,,,-1,-1
370,,,,-1,-1
357,,,,-1,-1
374,,,,-1,-1
370,,,,-1,-1
370,,,,-1,-1
380,,,,-1,-1
370,,,,-1,-1
370,,,,-1,-1
370,,,,-1,-1
370,,,,-1,-1
375,,,,-1,-1
374,,,,-1,-1
380,,,,-1,-1
374,,,,-1,-1
374,,,,-1,-1
363,,,,-1,-1
374,,,,-1,-1
374,,,,-1,-1
375,,,,-1,-1
375,,,,-1,-1
375,,,,-1,-1
370,,,,-1,-1
374,,,,-1,-1
370,,,,-1,-1
380,,,,-1,-1
370,,,,-1,-1
370,,,,-1,-1
379,,,,-1,-1
380,,,,-1,-1
365,,,,-1,-1
375,,,,-1,-1
370,,,,-1,-1
370,,,,-1,-1
370,,,,-1,-1
365,,,,-1,-1
374,,,,-1,-1
375,,,,-1,-1
375,,,,-1,-1
365,,,,-1,-1
374,,,,-1,-1
374,,,,-1,-1
374,,,,-1,-1
370,,,,-1,-1
365,,,,-1,-1
370,,,,-1,-1
370,,,,-1,-1
363,,,,-1,-1
370,,,,-1,-1
370,,,,-1,-1
379,,,,-1,-1
370,,,,-1,-1
370,,,,-1,-1
374,,,,-1,-1
370,,,,-1,-1
370,,,,-1,-1
370,,,,-1,-1
370,,,,-1,-1
366,,,,-1,-1
370,,,,-1,-1
370,,,,-1,-1
370,,,,-1,-1
370,,,,-1,-1
370,,,,-1,-1
375,,,,-1,-1
370,,,,-1,-1
375,,,,-1,-1
370,,,,-1,-1
370,,,,-1,-1
374,,,,-1,-1
370,,,,-1,-1
377,,,,-1,-1
363,,,,-1,-1
365,,,,-1,-1
370,,,,-1,-1
370,,,,-1,-1
370,,,,-1,-1
380,,,,-1,-1
376,,,,-1,-1
370,,,,-1,-1
374,,,,-1,-1
370,,,,-1,-1
375,,,,-1,-1
370,,,,-1,-1
379,,,,-1,-1
376,,,,-1,-1
379,,,,-1,-1
374,,,,-1,-1
370,,,,-1,-1
370,,,,-1,-1
370,,,,-1,-1
370,,,,-1,-1
375,,,,-1,-1
375,,,,-1,-1
370,,,,-1,-1
376,,,,-1,-1
370,,,,-1,-1
375,,,,-1,-1
370,,,,-1,-1
366,,,,-1,-1
370,,,,-1,-1
370,,,,-1,-1
370,,,,-1,-1
375,,,,-1,-1
370,,,,-1,-1
370,,,,-1,-1
380,,,,-1,-1
370,,,,-1,-1
365,,,,-1,-1
370,,,,-1,-1
374,,,,-1,-1
379,,,,-1,-1
370,,,,-1,-1
379,,,,-1,-1
370,,,,-1,-1
370,,,,-1,-1
370,,,,-1,-1
379,,,,-1,-1
375,,,,-1,-1
