Magnitude,Uncertainty,Kmag,Cmag,Comp Star 1,Comp Star 2
1540,,,,-1,-1
1044,,,,-1,-1
1028,,,,-1,-1
1031,,,,-1,-1
991,,,,-1,-1
1008,,,,-1,-1
1002,,,,-1,-1
1007,,,,-1,-1
1004,,,,-1,-1
1008,,,,-1,-1
1017,,,,-1,-1
1020,,,,-1,-1
973,,,,-1,-1
1012,,,,-1,-1
1036,,,,-1,-1
1021,,,,-1,-1
1016,,,,-1,-1
1012,,,,-1,-1
1028,,,,-1,-1
1013,,,,-1,-1
1034,,,,-1,-1
1017,,,,-1,-1
1012,,,,-1,-1
1012,,,,-1,-1
1007,,,,-1,-1
1018,,,,-1,-1
1026,,,,-1,-1
1001,,,,-1,-1
1044,,,,-1,-1
999,,,,-1,-1
1028,,,,-1,-1
1020,,,,-1,-1
1016,,,,-1,-1
998,,,,-1,-1
995,,,,-1,-1
1003,,,,-1,-1
988,,,,-1,-1
996,,,,-1,-1
987,,,,-1,-1
1012,,,,-1,-1
993,,,,-1,-1
978,,,,-1,-1
973,,,,-1,-1
1012,,,,-1,-1
994,,,,-1,-1
984,,,,-1,-1
985,,,,-1,-1
980,,,,-1,-1
986,,,,-1,-1
1012,,,,-1,-1
991,,,,-1,-1
982,,,,-1,-1
983,,,,-1,-1
993,,,,-1,-1
979,,,,-1,-1
992,,,,-1,-1
985,,,,-1,-1
991,,,,-1,-1
985,,,,-1,-1
987,,,,-1,-1
997,,,,-1,-1
980,,,,-1,-1
977,,,,-1,-1
976,,,,-1,-1
985,,,,-1,-1
989,,,,-1,-1
1000,,,,-1,-1
978,,,,-1,-1
995,,,,-1,-1
985,,,,-1,-1
997,,,,-1,-1
994,,,,-1,-1
995,,,,-1,-1
1009,,,,-1,-1
1005,,,,-1,-1
1021,,,,-1,-1
1010,,,,-1,-1
1014,,,,-1,-1
1024,,,,-1,-1
1019,,,,-1,-1
1020,,,,-1,-1
1020,,,,-1,-1
1032,,,,-1,-1
1022,,,,-1,-1
1067,,,,-1,-1
1006,,,,-1,-1
1010,,,,-1,-1
1021,,,,-1,-1
1021,,,,-1,-1
1017,,,,-1,-1
1025,,,,-1,-1
1012,,,,-1,-1
1011,,,,-1,-1
1020,,,,-1,-1
1005,,,,-1,-1
1011,,,,-1,-1
1030,,,,-1,-1
1028,,,,-1,-1
1013,,,,-1,-1
1006,,,,-1,-1
1008,,,,-1,-1
1031,,,,-1,-1
1015,,,,-1,-1
1035,,,,-1,-1
1035,,,,-1,-1
1013,,,,-1,-1
1013,,,,-1,-1
1040,,,,-1,-1
1023,,,,-1,-1
1026,,,,-1,-1
1012,,,,-1,-1
1021,,,,-1,-1
1034,,,,-1,-1
1027,,,,-1,-1
1024,,,,-1,-1
1028,,,,-1,-1
1019,,,,-1,-1
1006,,,,-1,-1
1036,,,,-1,-1
1010,,,,-1,-1
1029,,,,-1,-1
1034,,,,-1,-1
1033,,,,-1,-1
1040,,,,-1,-1
1031,,,,-1,-1
1028,,,,-1,-1
1088,,,,-1,-1
1034,,,,-1,-1
