Magnitude,Uncertainty,Kmag,Cmag,Comp Star 1,Comp Star 2
219,,,,-1,-1
221,,,,-1,-1
206,,,,-1,-1
200,,,,-1,-1
200,,,,-1,-1
200,,,,-1,-1
194,,,,-1,-1
194,,,,-1,-1
194,,,,-1,-1
188,,,,-1,-1
190,,,,20,-1
200,,,,-1,-1
196,,,,-1,-1
196,,,,-1,-1
191,,,,-1,-1
191,,,,-1,-1
190,,,,-1,-1
206,,,,-1,-1
204,,,,-1,-1
200,,,,-1,-1
196,,,,-1,-1
204,,,,-1,-1
204,,,,-1,-1
204,,,,-1,-1
190,,,,-1,-1
192,,,,-1,-1
192,,,,-1,-1
200,,,,-1,-1
196,,,,-1,-1
194,,,,-1,-1
199,,,,-1,-1
197,,,,-1,-1
204,,,,-1,-1
204,,,,-1,-1
204,,,,-1,-1
200,,,,-1,-1
200,,,,-1,-1
194,,,,-1,-1
204,,,,-1,-1
191,,,,-1,-1
200,,,,-1,-1
191,,,,-1,-1
191,,,,-1,-1
191,,,,-1,-1
194,,,,-1,-1
200,,,,-1,-1
200,,,,-1,-1
206,,,,20,-1
200,,,,-1,-1
206,,,,-1,-1
196,,,,-1,-1
192,,,,-1,-1
194,,,,-1,-1
189,,,,-1,-1
190,,,,-1,-1
207,,,,-1,-1
198,,,,-1,-1
211,,,,-1,-1
200,,,,-1,-1
200,,,,-1,-1
200,,,,-1,-1
194,,,,-1,-1
196,,,,-1,-1
204,,,,-1,-1
200,,,,-1,-1
191,,,,-1,-1
219,,,,-1,-1
206,,,,20,-1
200,,,,-1,-1
206,,,,-1,-1
196,,,,-1,-1
206,,,,-1,-1
200,,,,-1,-1
200,,,,-1,-1
196,,,,-1,-1
204,,,,-1,-1
204,,,,-1,-1
200,,,,-1,-1
196,,,,-1,-1
200,,,,-1,-1
204,,,,-1,-1
196,,,,-1,-1
196,,,,-1,-1
204,,,,-1,-1
191,,,,-1,-1
194,,,,-1,-1
194,,,,-1,-1
196,,,,-1,-1
192,,,,-1,-1
200,,,,20,-1
191,,,,-1,-1
201,,,,-1,-1
192,,,,-1,-1
204,,,,-1,-1
200,,,,-1,-1
196,,,,-1,-1
195,,,,-1,-1
200,,,,-1,-1
200,,,,-1,-1
200,,,,-1,-1
200,,,,-1,-1
206,,,,-1,-1
209,,,,-1,-1
191,,,,-1,-1
200,,,,-1,-1
221,,,,-1,-1
221,,,,-1,-1
204,,,,-1,-1
214,,,,20,-1
196,,,,-1,-1
196,,,,-1,-1
206,,,,-1,-1
196,,,,-1,-1
203,,,,-1,-1
209,,,,-1,-1
204,,,,-1,-1
209,,,,-1,-1
206,,,,-1,-1
209,,,,-1,-1
214,,,,-1,-1
206,,,,-1,-1
214,,,,-1,-1
206,,,,-1,-1
206,,,,-1,-1
212,,,,-1,-1
205,,,,-1,-1
209,,,,-1,-1
193,,,,-1,-1
216,,,,-1,-1
200,,,,-1,-1
209,,,,-1,-1
216,,,,-1,-1
209,,,,-1,-1
204,,,,-1,-1
214,,,,-1,-1
209,,,,-1,-1
214,,,,-1,-1
214,,,,-1,-1
214,,,,-1,-1
219,,,,-1,-1
201,,,,-1,-1
208,,,,-1,-1
206,,,,-1,-1
216,,,,-1,-1
216,,,,-1,-1
214,,,,-1,-1
209,,,,-1,-1
216,,,,-1,-1
209,,,,-1,-1
209,,,,-1,-1
219,,,,-1,-1
202,,,,-1,-1
214,,,,-1,-1
217,,,,-1,-1
210,,,,-1,-1
214,,,,-1,-1
209,,,,-1,-1
204,,,,-1,-1
209,,,,-1,-1
206,,,,-1,-1
209,,,,-1,-1
219,,,,-1,-1
204,,,,-1,-1
214,,,,-1,-1
216,,,,-1,-1
209,,,,-1,-1
216,,,,-1,-1
219,,,,20,-1
216,,,,-1,-1
223,,,,20,-1
209,,,,-1,-1
219,,,,-1,-1
206,,,,-1,-1
214,,,,-1,-1
215,,,,-1,-1
214,,,,-1,-1
216,,,,-1,-1
209,,,,-1,-1
214,,,,-1,-1
209,,,,-1,-1
214,,,,-1,-1
221,,,,-1,-1
214,,,,-1,-1
214,,,,-1,-1
209,,,,-1,-1
216,,,,-1,-1
214,,,,-1,-1
216,,,,-1,-1
216,,,,20,-1
225,,,,-1,-1
216,,,,-1,-1
221,,,,-1,-1
216,,,,-1,-1
206,,,,-1,-1
214,,,,-1,-1
219,,,,-1,-1
221,,,,-1,-1
209,,,,-1,-1
225,,,,-1,-1
219,,,,-1,-1
221,,,,-1,-1
221,,,,-1,-1
221,,,,-1,-1
216,,,,-1,-1
225,,,,-1,-1
223,,,,-1,-1
219,,,,-1,-1
223,,,,-1,-1
216,,,,-1,-1
216,,,,-1,-1
216,,,,-1,-1
216,,,,-1,-1
223,,,,-1,-1
214,,,,-1,-1
216,,,,-1,-1
225,,,,-1,-1
219,,,,-1,-1
219,,,,-1,-1
223,,,,-1,-1
214,,,,-1,-1
216,,,,-1,-1
223,,,,20,-1
223,,,,-1,-1
230,,,,20,-1
226,,,,-1,-1
219,,,,-1,-1
219,,,,-1,-1
219,,,,-1,-1
223,,,,-1,-1
219,,,,-1,-1
221,,,,-1,-1
225,,,,-1,-1
219,,,,-1,-1
216,,,,-1,-1
216,,,,-1,-1
216,,,,-1,-1
223,,,,-1,-1
219,,,,-1,-1
204,,,,-1,-1
219,,,,-1,-1
214,,,,-1,-1
223,,,,-1,-1
213,,,,-1,-1
219,,,,-1,-1
204,,,,-1,-1
221,,,,-1,-1
225,,,,-1,-1
235,,,,-1,-1
226,,,,-1,-1
223,,,,-1,-1
219,,,,-1,-1
216,,,,-1,-1
215,,,,-1,-1
220,,,,-1,-1
219,,,,-1,-1
219,,,,-1,-1
252,,,,-1,-1
223,,,,-1,-1
219,,,,-1,-1
216,,,,-1,-1
242,,,,-1,-1
241,,,,-1,-1
223,,,,-1,-1
225,,,,-1,-1
216,,,,-1,-1
226,,,,-1,-1
219,,,,-1,-1
219,,,,-1,-1
221,,,,-1,-1
221,,,,-1,-1
225,,,,-1,-1
219,,,,-1,-1
224,,,,-1,-1
223,,,,-1,-1
218,,,,-1,-1
216,,,,-1,-1
225,,,,-1,-1
231,,,,-1,-1
216,,,,-1,-1
236,,,,-1,-1
223,,,,-1,-1
219,,,,-1,-1
222,,,,-1,-1
225,,,,-1,-1
223,,,,-1,-1
216,,,,-1,-1
223,,,,-1,-1
221,,,,-1,-1
223,,,,-1,-1
225,,,,20,-1
