Magnitude,Uncertainty,Kmag,Cmag,Comp Star 1,Comp Star 2
271,,,,-1,-1
276,,,,-1,-1
301,,,,-1,-1
298,,,,-1,-1
325,,,,-1,-1
301,,,,-1,-1
301,,,,-1,-1
271,,,,-1,-1
332,,,,-1,-1
289,,,,-1,-1
280,,,,-1,-1
285,,,,-1,-1
271,,,,-1,-1
325,,,,-1,-1
292,,,,-1,-1
325,,,,-1,-1
301,,,,-1,-1
280,,,,-1,-1
317,,,,-1,-1
298,,,,-1,-1
280,,,,-1,-1
280,,,,-1,-1
317,,,,-1,-1
293,,,,-1,-1
265,,,,-1,-1
292,,,,-1,-1
337,,,,-1,-1
342,,,,-1,-1
311,,,,-1,-1
337,,,,-1,-1
311,,,,-1,-1
304,,,,-1,-1
333,,,,-1,-1
325,,,,-1,-1
315,,,,-1,-1
340,,,,-1,-1
301,,,,-1,-1
317,,,,-1,-1
306,,,,-1,-1
353,,,,-1,-1
332,,,,-1,-1
332,,,,-1,-1
337,,,,-1,-1
332,,,,-1,-1
302,,,,-1,-1
317,,,,-1,-1
337,,,,-1,-1
353,,,,-1,-1
317,,,,-1,-1
317,,,,-1,-1
392,,,,-1,-1
325,,,,-1,-1
353,,,,-1,-1
311,,,,-1,-1
337,,,,-1,-1
304,,,,-1,-1
292,,,,-1,-1
355,,,,-1,-1
311,,,,-1,-1
311,,,,-1,-1
402,,,,-1,-1
311,,,,-1,-1
337,,,,-1,-1
304,,,,-1,-1
311,,,,-1,-1
325,,,,-1,-1
311,,,,-1,-1
289,,,,-1,-1
317,,,,-1,-1
297,,,,-1,-1
311,,,,-1,-1
293,,,,-1,-1
280,,,,-1,-1
296,,,,-1,-1
298,,,,-1,-1
298,,,,-1,-1
301,,,,-1,-1
313,,,,-1,-1
325,,,,-1,-1
271,,,,-1,-1
292,,,,-1,-1
289,,,,-1,-1
280,,,,-1,-1
317,,,,-1,-1
325,,,,-1,-1
275,,,,-1,-1
280,,,,-1,-1
289,,,,-1,-1
298,,,,-1,-1
337,,,,-1,-1
298,,,,-1,-1
311,,,,-1,-1
249,,,,-1,-1
301,,,,-1,-1
298,,,,-1,-1
298,,,,-1,-1
311,,,,-1,-1
