Magnitude,Uncertainty,Kmag,Cmag,Comp Star 1,Comp Star 2
283,,,,-1,-1
287,,,,-1,-1
278,,,,-1,-1
249,,,,-1,-1
252,,,,-1,-1
278,,,,-1,-1
278,,,,-1,-1
273,,,,-1,-1
273,,,,-1,-1
273,,,,-1,-1
252,,,,-1,-1
254,,,,-1,-1
273,,,,-1,-1
266,,,,-1,-1
259,,,,-1,-1
259,,,,-1,-1
259,,,,-1,-1
241,,,,-1,-1
254,,,,-1,-1
252,,,,-1,-1
254,,,,-1,-1
244,,,,-1,-1
240,,,,-1,-1
241,,,,-1,-1
247,,,,-1,-1
237,,,,-1,-1
244,,,,-1,-1
244,,,,-1,-1
243,,,,-1,-1
243,,,,-1,-1
243,,,,-1,-1
245,,,,-1,-1
245,,,,-1,-1
245,,,,-1,-1
244,,,,-1,-1
242,,,,-1,-1
244,,,,-1,-1
244,,,,-1,-1
244,,,,-1,-1
245,,,,-1,-1
245,,,,-1,-1
243,,,,-1,-1
235,,,,-1,-1
246,,,,-1,-1
245,,,,-1,-1
244,,,,-1,-1
244,,,,-1,-1
242,,,,-1,-1
243,,,,-1,-1
242,,,,-1,-1
246,,,,-1,-1
241,,,,-1,-1
263,,,,-1,-1
241,,,,-1,-1
243,,,,-1,-1
243,,,,-1,-1
242,,,,-1,-1
246,,,,-1,-1
240,,,,-1,-1
243,,,,-1,-1
242,,,,-1,-1
243,,,,-1,-1
238,,,,-1,-1
240,,,,-1,-1
240,,,,-1,-1
243,,,,-1,-1
239,,,,-1,-1
239,,,,-1,-1
241,,,,-1,-1
241,,,,-1,-1
239,,,,-1,-1
240,,,,-1,-1
238,,,,-1,-1
238,,,,-1,-1
241,,,,-1,-1
239,,,,-1,-1
238,,,,-1,-1
237,,,,-1,-1
241,,,,-1,-1
237,,,,-1,-1
235,,,,-1,-1
237,,,,-1,-1
237,,,,-1,-1
235,,,,-1,-1
242,,,,-1,-1
314,,,,-1,-1
237,,,,-1,-1
240,,,,-1,-1
238,,,,-1,-1
236,,,,-1,-1
239,,,,-1,-1
235,,,,-1,-1
236,,,,-1,-1
235,,,,-1,-1
235,,,,-1,-1
236,,,,-1,-1
236,,,,-1,-1
236,,,,-1,-1
232,,,,-1,-1
236,,,,-1,-1
236,,,,-1,-1
232,,,,-1,-1
236,,,,-1,-1
237,,,,-1,-1
233,,,,-1,-1
233,,,,-1,-1
231,,,,-1,-1
233,,,,-1,-1
241,,,,-1,-1
236,,,,-1,-1
236,,,,-1,-1
231,,,,-1,-1
240,,,,-1,-1
239,,,,-1,-1
237,,,,-1,-1
239,,,,-1,-1
236,,,,-1,-1
236,,,,-1,-1
240,,,,-1,-1
236,,,,-1,-1
240,,,,-1,-1
242,,,,-1,-1
240,,,,-1,-1
237,,,,-1,-1
235,,,,-1,-1
239,,,,-1,-1
236,,,,-1,-1
241,,,,-1,-1
240,,,,-1,-1
236,,,,-1,-1
235,,,,-1,-1
237,,,,-1,-1
239,,,,-1,-1
239,,,,-1,-1
235,,,,-1,-1
236,,,,-1,-1
237,,,,-1,-1
242,,,,-1,-1
233,,,,-1,-1
234,,,,-1,-1
237,,,,-1,-1
236,,,,-1,-1
232,,,,-1,-1
236,,,,-1,-1
314,,,,-1,-1
237,,,,-1,-1
236,,,,-1,-1
239,,,,-1,-1
233,,,,-1,-1
241,,,,-1,-1
235,,,,-1,-1
235,,,,-1,-1
239,,,,-1,-1
240,,,,-1,-1
238,,,,-1,-1
230,,,,-1,-1
242,,,,-1,-1
240,,,,-1,-1
237,,,,-1,-1
240,,,,-1,-1
237,,,,-1,-1
235,,,,-1,-1
237,,,,-1,-1
235,,,,-1,-1
242,,,,-1,-1
242,,,,-1,-1
246,,,,-1,-1
249,,,,-1,-1
252,,,,-1,-1
241,,,,-1,-1
247,,,,-1,-1
245,,,,-1,-1
246,,,,-1,-1
278,,,,-1,-1
249,,,,-1,-1
244,,,,-1,-1
252,,,,-1,-1
249,,,,-1,-1
245,,,,-1,-1
259,,,,-1,-1
244,,,,-1,-1
245,,,,-1,-1
252,,,,-1,-1
247,,,,-1,-1
249,,,,-1,-1
249,,,,-1,-1
247,,,,-1,-1
266,,,,-1,-1
254,,,,-1,-1
247,,,,-1,-1
270,,,,-1,-1
252,,,,-1,-1
259,,,,-1,-1
247,,,,-1,-1
252,,,,-1,-1
249,,,,-1,-1
249,,,,-1,-1
254,,,,-1,-1
263,,,,-1,-1
266,,,,-1,-1
266,,,,-1,-1
249,,,,-1,-1
247,,,,-1,-1
259,,,,-1,-1
278,,,,-1,-1
283,,,,-1,-1
270,,,,-1,-1
270,,,,-1,-1
292,,,,-1,-1
273,,,,-1,-1
266,,,,-1,-1
266,,,,-1,-1
254,,,,-1,-1
254,,,,-1,-1
266,,,,-1,-1
273,,,,-1,-1
266,,,,-1,-1
249,,,,-1,-1
287,,,,-1,-1
252,,,,-1,-1
266,,,,-1,-1
266,,,,-1,-1
252,,,,-1,-1
278,,,,-1,-1
263,,,,-1,-1
263,,,,-1,-1
270,,,,-1,-1
259,,,,-1,-1
270,,,,-1,-1
266,,,,-1,-1
273,,,,-1,-1
270,,,,-1,-1
273,,,,-1,-1
278,,,,-1,-1
292,,,,-1,-1
278,,,,-1,-1
266,,,,-1,-1
292,,,,-1,-1
263,,,,-1,-1
287,,,,-1,-1
283,,,,-1,-1
273,,,,-1,-1
275,,,,-1,-1
270,,,,-1,-1
270,,,,-1,-1
263,,,,-1,-1
245,,,,-1,-1
278,,,,-1,-1
299,,,,-1,-1
296,,,,-1,-1
273,,,,-1,-1
273,,,,-1,-1
296,,,,-1,-1
