Magnitude,Uncertainty,Kmag,Cmag,Comp Star 1,Comp Star 2
255,,,,-1,-1
262,,,,-1,-1
265,,,,-1,-1
255,,,,-1,-1
256,,,,-1,-1
258,,,,-1,-1
257,,,,-1,-1
252,,,,-1,-1
253,,,,-1,-1
254,,,,-1,-1
255,,,,-1,-1
251,,,,-1,-1
252,,,,-1,-1
254,,,,-1,-1
252,,,,-1,-1
251,,,,-1,-1
251,,,,-1,-1
252,,,,-1,-1
252,,,,-1,-1
254,,,,-1,-1
252,,,,-1,-1
252,,,,-1,-1
252,,,,-1,-1
251,,,,-1,-1
256,,,,-1,-1
249,,,,-1,-1
251,,,,-1,-1
252,,,,-1,-1
249,,,,-1,-1
254,,,,-1,-1
252,,,,-1,-1
252,,,,-1,-1
257,,,,-1,-1
258,,,,-1,-1
256,,,,-1,-1
254,,,,-1,-1
255,,,,-1,-1
254,,,,-1,-1
252,,,,-1,-1
250,,,,-1,-1
254,,,,-1,-1
252,,,,-1,-1
250,,,,-1,-1
253,,,,-1,-1
250,,,,-1,-1
248,,,,-1,-1
253,,,,-1,-1
253,,,,-1,-1
256,,,,-1,-1
256,,,,-1,-1
258,,,,-1,-1
256,,,,-1,-1
257,,,,-1,-1
253,,,,-1,-1
251,,,,-1,-1
252,,,,-1,-1
253,,,,-1,-1
253,,,,-1,-1
255,,,,-1,-1
257,,,,-1,-1
254,,,,-1,-1
257,,,,-1,-1
258,,,,-1,-1
257,,,,-1,-1
257,,,,-1,-1
257,,,,-1,-1
257,,,,-1,-1
258,,,,-1,-1
258,,,,-1,-1
257,,,,-1,-1
255,,,,-1,-1
261,,,,-1,-1
255,,,,-1,-1
255,,,,-1,-1
255,,,,-1,-1
256,,,,-1,-1
257,,,,-1,-1
256,,,,-1,-1
253,,,,-1,-1
256,,,,-1,-1
258,,,,-1,-1
257,,,,-1,-1
257,,,,-1,-1
255,,,,-1,-1
258,,,,-1,-1
255,,,,-1,-1
257,,,,-1,-1
257,,,,-1,-1
257,,,,-1,-1
260,,,,-1,-1
258,,,,-1,-1
256,,,,-1,-1
257,,,,-1,-1
255,,,,-1,-1
257,,,,-1,-1
255,,,,-1,-1
259,,,,-1,-1
259,,,,-1,-1
255,,,,-1,-1
256,,,,-1,-1
255,,,,-1,-1
258,,,,-1,-1
256,,,,-1,-1
258,,,,-1,-1
262,,,,-1,-1
259,,,,-1,-1
260,,,,-1,-1
258,,,,-1,-1
256,,,,-1,-1
257,,,,-1,-1
257,,,,-1,-1
260,,,,-1,-1
259,,,,-1,-1
257,,,,-1,-1
258,,,,-1,-1
259,,,,-1,-1
259,,,,-1,-1
258,,,,-1,-1
259,,,,-1,-1
258,,,,-1,-1
259,,,,-1,-1
261,,,,-1,-1
256,,,,-1,-1
261,,,,-1,-1
258,,,,-1,-1
259,,,,-1,-1
262,,,,-1,-1
260,,,,-1,-1
259,,,,-1,-1
256,,,,-1,-1
260,,,,-1,-1
257,,,,-1,-1
261,,,,-1,-1
273,,,,-1,-1
260,,,,-1,-1
267,,,,-1,-1
258,,,,-1,-1
258,,,,-1,-1
255,,,,-1,-1
256,,,,-1,-1
258,,,,-1,-1
260,,,,-1,-1
259,,,,-1,-1
258,,,,-1,-1
256,,,,-1,-1
257,,,,-1,-1
260,,,,-1,-1
258,,,,-1,-1
259,,,,-1,-1
258,,,,-1,-1
257,,,,-1,-1
260,,,,-1,-1
259,,,,-1,-1
261,,,,-1,-1
258,,,,-1,-1
261,,,,-1,-1
260,,,,-1,-1
256,,,,-1,-1
258,,,,-1,-1
259,,,,-1,-1
261,,,,-1,-1
261,,,,-1,-1
259,,,,-1,-1
264,,,,-1,-1
262,,,,-1,-1
260,,,,-1,-1
262,,,,-1,-1
261,,,,-1,-1
261,,,,-1,-1
262,,,,-1,-1
261,,,,-1,-1
262,,,,-1,-1
262,,,,-1,-1
261,,,,-1,-1
261,,,,-1,-1
261,,,,-1,-1
260,,,,-1,-1
260,,,,-1,-1
258,,,,-1,-1
260,,,,-1,-1
259,,,,-1,-1
257,,,,-1,-1
260,,,,-1,-1
262,,,,-1,-1
260,,,,-1,-1
266,,,,-1,-1
260,,,,-1,-1
254,,,,-1,-1
259,,,,-1,-1
260,,,,-1,-1
259,,,,-1,-1
262,,,,-1,-1
258,,,,-1,-1
258,,,,-1,-1
259,,,,-1,-1
260,,,,-1,-1
258,,,,-1,-1
261,,,,-1,-1
262,,,,-1,-1
263,,,,-1,-1
259,,,,-1,-1
260,,,,-1,-1
262,,,,-1,-1
263,,,,-1,-1
262,,,,-1,-1
262,,,,-1,-1
262,,,,-1,-1
263,,,,-1,-1
263,,,,-1,-1
262,,,,-1,-1
261,,,,-1,-1
263,,,,-1,-1
260,,,,-1,-1
262,,,,-1,-1
263,,,,-1,-1
259,,,,-1,-1
260,,,,-1,-1
267,,,,-1,-1
270,,,,-1,-1
263,,,,-1,-1
267,,,,-1,-1
262,,,,-1,-1
264,,,,-1,-1
268,,,,-1,-1
271,,,,-1,-1
266,,,,-1,-1
265,,,,-1,-1
261,,,,-1,-1
265,,,,-1,-1
262,,,,-1,-1
259,,,,-1,-1
263,,,,-1,-1
259,,,,-1,-1
262,,,,-1,-1
262,,,,-1,-1
262,,,,-1,-1
262,,,,-1,-1
263,,,,-1,-1
262,,,,-1,-1
261,,,,-1,-1
263,,,,-1,-1
262,,,,-1,-1
261,,,,-1,-1
262,,,,-1,-1
261,,,,-1,-1
266,,,,-1,-1
260,,,,-1,-1
268,,,,-1,-1
266,,,,-1,-1
262,,,,-1,-1
263,,,,-1,-1
265,,,,-1,-1
257,,,,-1,-1
264,,,,-1,-1
261,,,,-1,-1
264,,,,-1,-1
263,,,,-1,-1
264,,,,-1,-1
264,,,,-1,-1
262,,,,-1,-1
263,,,,-1,-1
265,,,,-1,-1
262,,,,-1,-1
265,,,,-1,-1
265,,,,-1,-1
263,,,,-1,-1
266,,,,-1,-1
269,,,,-1,-1
262,,,,-1,-1
265,,,,-1,-1
265,,,,-1,-1
266,,,,-1,-1
269,,,,-1,-1
263,,,,-1,-1
269,,,,-1,-1
266,,,,-1,-1
265,,,,-1,-1
265,,,,-1,-1
268,,,,-1,-1
266,,,,-1,-1
264,,,,-1,-1
265,,,,-1,-1
265,,,,-1,-1
266,,,,-1,-1
264,,,,-1,-1
266,,,,-1,-1
264,,,,-1,-1
263,,,,-1,-1
265,,,,-1,-1
267,,,,-1,-1
261,,,,-1,-1
266,,,,-1,-1
265,,,,-1,-1
264,,,,-1,-1
265,,,,-1,-1
265,,,,-1,-1
264,,,,-1,-1
265,,,,-1,-1
261,,,,-1,-1
262,,,,-1,-1
268,,,,-1,-1
264,,,,-1,-1
267,,,,-1,-1
264,,,,-1,-1
266,,,,-1,-1
270,,,,-1,-1
265,,,,-1,-1
261,,,,-1,-1
265,,,,-1,-1
269,,,,-1,-1
264,,,,-1,-1
264,,,,-1,-1
265,,,,-1,-1
264,,,,-1,-1
267,,,,-1,-1
274,,,,-1,-1
263,,,,-1,-1
263,,,,-1,-1
267,,,,-1,-1
270,,,,-1,-1
266,,,,-1,-1
267,,,,-1,-1
268,,,,-1,-1
323,,,,-1,-1
271,,,,-1,-1
267,,,,-1,-1
272,,,,-1,-1
267,,,,-1,-1
272,,,,-1,-1
266,,,,-1,-1
271,,,,-1,-1
268,,,,-1,-1
262,,,,-1,-1
270,,,,-1,-1
268,,,,-1,-1
268,,,,-1,-1
272,,,,-1,-1
272,,,,0,-1
268,,,,-1,-1
270,,,,-1,-1
272,,,,-1,-1
267,,,,-1,-1
269,,,,-1,-1
262,,,,-1,-1
268,,,,-1,-1
268,,,,-1,-1
271,,,,-1,-1
273,,,,-1,-1
270,,,,-1,-1
274,,,,-1,-1
272,,,,-1,-1
271,,,,-1,-1
274,,,,-1,-1
270,,,,-1,-1
273,,,,0,-1
273,,,,-1,-1
273,,,,-1,-1
275,,,,-1,-1
275,,,,-1,-1
275,,,,-1,-1
273,,,,-1,-1
272,,,,-1,-1
273,,,,-1,-1
272,,,,-1,-1
276,,,,-1,-1
322,,,,-1,-1
273,,,,-1,-1
275,,,,-1,-1
272,,,,-1,-1
272,,,,-1,-1
275,,,,-1,-1
271,,,,-1,-1
273,,,,-1,-1
274,,,,-1,-1
274,,,,-1,-1
271,,,,-1,-1
273,,,,-1,-1
322,,,,-1,-1
272,,,,-1,-1
266,,,,-1,-1
275,,,,-1,-1
276,,,,-1,-1
274,,,,-1,-1
272,,,,-1,-1
271,,,,-1,-1
272,,,,-1,-1
274,,,,-1,-1
271,,,,-1,-1
270,,,,-1,-1
271,,,,-1,-1
273,,,,-1,-1
269,,,,-1,-1
272,,,,-1,-1
273,,,,-1,-1
273,,,,-1,-1
273,,,,-1,-1
272,,,,-1,-1
274,,,,-1,-1
272,,,,-1,-1
272,,,,-1,-1
275,,,,-1,-1
275,,,,-1,-1
275,,,,-1,-1
276,,,,-1,-1
277,,,,-1,-1
273,,,,-1,-1
273,,,,-1,-1
271,,,,-1,-1
272,,,,-1,-1
274,,,,-1,-1
272,,,,-1,-1
276,,,,-1,-1
278,,,,-1,-1
272,,,,-1,-1
