Magnitude,Uncertainty,Kmag,Cmag,Comp Star 1,Comp Star 2
2,,,,-1,-1
7,,,,-1,-1
1,,,,-1,-1
105,,,,-1,-1
105,,,,-1,-1
104,,,,-1,-1
0,,,,-1,-1
2,,,,-1,-1
7,,,,-1,-1
6,,,,-1,-1
4,,,,-1,-1
11,,,,-1,-1
4,,,,-1,-1
6,,,,-1,-1
106,,,,-1,-1
2,,,,-1,-1
4,,,,-1,-1
5,,,,-1,-1
7,,,,-1,-1
4,,,,-1,-1
7,,,,-1,-1
1,,,,-1,-1
1,,,,-1,-1
13,,,,-1,-1
6,,,,-1,-1
7,,,,-1,-1
4,,,,-1,-1
13,,,,-1,-1
9,,,,-1,-1
6,,,,-1,-1
8,,,,-1,-1
2,,,,-1,-1
139,,,,-1,-1
6,,,,-1,-1
11,,,,-1,-1
13,,,,-1,-1
8,,,,-1,-1
9,,,,-1,-1
8,,,,-1,-1
18,,,,-1,-1
9,,,,-1,-1
10,,,,-1,-1
7,,,,-1,-1
8,,,,-1,-1
11,,,,-1,-1
8,,,,-1,-1
6,,,,16,-1
13,,,,-1,-1
14,,,,-1,-1
11,,,,-1,-1
11,,,,-1,-1
13,,,,-1,-1
14,,,,-1,-1
20,,,,-1,-1
11,,,,-1,-1
13,,,,-1,-1
8,,,,-1,-1
20,,,,-1,-1
13,,,,-1,-1
7,,,,-1,-1
9,,,,-1,-1
18,,,,-1,-1
11,,,,-1,-1
9,,,,-1,-1
8,,,,-1,-1
6,,,,-1,-1
11,,,,-1,-1
107,,,,-1,-1
11,,,,-1,-1
8,,,,-1,-1
13,,,,-1,-1
26,,,,-1,-1
9,,,,-1,-1
9,,,,-1,-1
26,,,,-1,-1
11,,,,-1,-1
18,,,,-1,-1
14,,,,-1,-1
11,,,,-1,-1
14,,,,-1,-1
18,,,,-1,-1
13,,,,-1,-1
4,,,,-1,-1
13,,,,-1,-1
20,,,,-1,-1
17,,,,-1,-1
32,,,,16,-1
21,,,,-1,-1
14,,,,-1,-1
14,,,,-1,-1
13,,,,-1,-1
26,,,,-1,-1
32,,,,-1,-1
14,,,,-1,-1
1,,,,-1,-1
14,,,,-1,-1
23,,,,-1,-1
23,,,,-1,-1
13,,,,-1,-1
13,,,,-1,-1
26,,,,-1,-1
18,,,,-1,-1
23,,,,-1,-1
18,,,,-1,-1
18,,,,-1,-1
11,,,,-1,-1
14,,,,-1,-1
26,,,,-1,-1
20,,,,-1,-1
13,,,,-1,-1
20,,,,-1,-1
18,,,,-1,-1
21,,,,-1,-1
23,,,,-1,-1
23,,,,-1,-1
1,,,,-1,-1
32,,,,-1,-1
20,,,,-1,-1
18,,,,-1,-1
20,,,,-1,-1
20,,,,-1,-1
8,,,,-1,-1
20,,,,-1,-1
20,,,,-1,-1
26,,,,-1,-1
26,,,,-1,-1
35,,,,-1,-1
26,,,,-1,-1
21,,,,-1,-1
23,,,,-1,-1
21,,,,-1,-1
29,,,,-1,-1
26,,,,-1,-1
14,,,,-1,-1
32,,,,-1,-1
4,,,,-1,-1
26,,,,-1,-1
21,,,,-1,-1
14,,,,-1,-1
23,,,,-1,-1
34,,,,-1,-1
23,,,,-1,-1
29,,,,-1,-1
26,,,,-1,-1
26,,,,-1,-1
35,,,,-1,-1
35,,,,-1,-1
23,,,,-1,-1
37,,,,-1,-1
29,,,,-1,-1
32,,,,-1,-1
34,,,,-1,-1
32,,,,-1,-1
32,,,,-1,-1
3,,,,-1,-1
32,,,,-1,-1
35,,,,-1,-1
29,,,,-1,-1
32,,,,-1,-1
21,,,,-1,-1
38,,,,-1,-1
32,,,,-1,-1
32,,,,-1,-1
35,,,,-1,-1
29,,,,-1,-1
21,,,,16,-1
23,,,,-1,-1
29,,,,-1,-1
29,,,,-1,-1
34,,,,-1,-1
26,,,,-1,-1
32,,,,-1,-1
37,,,,-1,-1
32,,,,-1,-1
37,,,,-1,-1
34,,,,-1,-1
32,,,,-1,-1
29,,,,-1,-1
41,,,,-1,-1
37,,,,-1,-1
34,,,,-1,-1
37,,,,-1,-1
34,,,,-1,-1
32,,,,-1,-1
37,,,,-1,-1
14,,,,-1,-1
37,,,,-1,-1
38,,,,-1,-1
34,,,,-1,-1
37,,,,-1,-1
13,,,,-1,-1
35,,,,-1,-1
33,,,,-1,-1
35,,,,-1,-1
43,,,,16,-1
35,,,,-1,-1
32,,,,-1,-1
23,,,,-1,-1
37,,,,-1,-1
35,,,,-1,-1
32,,,,-1,-1
38,,,,-1,-1
37,,,,-1,-1
40,,,,-1,-1
41,,,,-1,-1
32,,,,-1,-1
32,,,,-1,-1
39,,,,-1,-1
29,,,,-1,-1
40,,,,-1,-1
39,,,,-1,-1
35,,,,-1,-1
38,,,,-1,-1
35,,,,-1,-1
39,,,,-1,-1
34,,,,-1,-1
35,,,,16,-1
37,,,,-1,-1
34,,,,-1,-1
7,,,,-1,-1
38,,,,-1,-1
41,,,,-1,-1
37,,,,-1,-1
37,,,,-1,-1
34,,,,-1,-1
29,,,,-1,-1
39,,,,-1,-1
38,,,,-1,-1
34,,,,-1,-1
37,,,,-1,-1
40,,,,-1,-1
38,,,,-1,-1
38,,,,-1,-1
39,,,,-1,-1
38,,,,-1,-1
39,,,,-1,-1
40,,,,-1,-1
38,,,,-1,-1
32,,,,-1,-1
40,,,,-1,-1
32,,,,-1,-1
38,,,,-1,-1
37,,,,-1,-1
38,,,,-1,-1
38,,,,-1,-1
38,,,,-1,-1
35,,,,-1,-1
39,,,,-1,-1
12,,,,-1,-1
40,,,,-1,-1
37,,,,-1,-1
41,,,,-1,-1
38,,,,-1,-1
39,,,,-1,-1
41,,,,-1,-1
40,,,,-1,-1
40,,,,-1,-1
37,,,,-1,-1
41,,,,-1,-1
40,,,,-1,-1
40,,,,-1,-1
37,,,,-1,-1
46,,,,-1,-1
15,,,,-1,-1
40,,,,-1,-1
43,,,,-1,-1
46,,,,-1,-1
41,,,,-1,-1
39,,,,-1,-1
39,,,,-1,-1
40,,,,-1,-1
41,,,,-1,-1
43,,,,-1,-1
40,,,,-1,-1
41,,,,-1,-1
39,,,,-1,-1
41,,,,-1,-1
39,,,,-1,-1
43,,,,-1,-1
41,,,,-1,-1
46,,,,-1,-1
43,,,,-1,-1
49,,,,-1,-1
41,,,,-1,-1
41,,,,-1,-1
52,,,,-1,-1
46,,,,-1,-1
38,,,,-1,-1
43,,,,-1,-1
39,,,,-1,-1
41,,,,-1,-1
41,,,,-1,-1
41,,,,-1,-1
46,,,,-1,-1
49,,,,-1,-1
43,,,,-1,-1
46,,,,-1,-1
43,,,,-1,-1
44,,,,-1,-1
41,,,,-1,-1
41,,,,-1,-1
40,,,,-1,-1
43,,,,-1,-1
22,,,,-1,-1
41,,,,-1,-1
49,,,,-1,-1
43,,,,-1,-1
50,,,,-1,-1
52,,,,-1,-1
43,,,,-1,-1
49,,,,-1,-1
39,,,,-1,-1
38,,,,-1,-1
41,,,,-1,-1
40,,,,-1,-1
49,,,,-1,-1
43,,,,-1,-1
51,,,,-1,-1
50,,,,-1,-1
21,,,,-1,-1
49,,,,-1,-1
49,,,,-1,-1
43,,,,-1,-1
41,,,,-1,-1
41,,,,-1,-1
50,,,,-1,-1
40,,,,-1,-1
53,,,,-1,-1
51,,,,-1,-1
43,,,,-1,-1
50,,,,-1,-1
43,,,,-1,-1
49,,,,-1,-1
41,,,,-1,-1
