Magnitude,Uncertainty,Kmag,Cmag,Comp Star 1,Comp Star 2
194,,,,-1,-1
169,,,,-1,-1
178,,,,-1,-1
166,,,,-1,-1
171,,,,-1,-1
175,,,,-1,-1
175,,,,-1,-1
171,,,,-1,-1
164,,,,-1,-1
165,,,,-1,-1
169,,,,-1,-1
169,,,,-1,-1
162,,,,-1,-1
166,,,,-1,-1
166,,,,-1,-1
166,,,,-1,-1
165,,,,-1,-1
165,,,,-1,-1
167,,,,-1,-1
165,,,,-1,-1
166,,,,-1,-1
165,,,,-1,-1
163,,,,-1,-1
161,,,,-1,-1
165,,,,-1,-1
162,,,,-1,-1
165,,,,-1,-1
162,,,,-1,-1
162,,,,-1,-1
167,,,,-1,-1
169,,,,-1,-1
163,,,,-1,-1
165,,,,-1,-1
162,,,,-1,-1
165,,,,-1,-1
161,,,,-1,-1
167,,,,-1,-1
163,,,,-1,-1
164,,,,-1,-1
159,,,,-1,-1
159,,,,-1,-1
164,,,,-1,-1
159,,,,-1,-1
164,,,,-1,-1
164,,,,-1,-1
163,,,,-1,-1
164,,,,-1,-1
165,,,,-1,-1
165,,,,-1,-1
163,,,,-1,-1
160,,,,-1,-1
163,,,,-1,-1
162,,,,-1,-1
164,,,,-1,-1
167,,,,-1,-1
163,,,,-1,-1
175,,,,-1,-1
165,,,,-1,-1
165,,,,-1,-1
164,,,,-1,-1
164,,,,-1,-1
163,,,,-1,-1
164,,,,-1,-1
164,,,,-1,-1
166,,,,-1,-1
164,,,,-1,-1
161,,,,-1,-1
163,,,,-1,-1
163,,,,-1,-1
162,,,,-1,-1
163,,,,-1,-1
160,,,,-1,-1
163,,,,-1,-1
162,,,,-1,-1
158,,,,-1,-1
161,,,,-1,-1
160,,,,-1,-1
162,,,,-1,-1
167,,,,-1,-1
159,,,,-1,-1
162,,,,-1,-1
162,,,,-1,-1
161,,,,-1,-1
160,,,,-1,-1
162,,,,-1,-1
163,,,,-1,-1
163,,,,-1,-1
167,,,,-1,-1
164,,,,-1,-1
165,,,,-1,-1
167,,,,-1,-1
166,,,,-1,-1
163,,,,-1,-1
165,,,,-1,-1
165,,,,-1,-1
163,,,,-1,-1
165,,,,-1,-1
166,,,,-1,-1
164,,,,-1,-1
167,,,,-1,-1
163,,,,-1,-1
164,,,,-1,-1
167,,,,-1,-1
167,,,,-1,-1
169,,,,-1,-1
171,,,,-1,-1
176,,,,-1,-1
171,,,,-1,-1
169,,,,-1,-1
169,,,,-1,-1
175,,,,-1,-1
169,,,,-1,-1
167,,,,-1,-1
169,,,,-1,-1
167,,,,-1,-1
167,,,,-1,-1
167,,,,-1,-1
169,,,,-1,-1
166,,,,-1,-1
171,,,,-1,-1
165,,,,-1,-1
171,,,,-1,-1
165,,,,-1,-1
175,,,,-1,-1
167,,,,-1,-1
169,,,,-1,-1
167,,,,-1,-1
175,,,,-1,-1
169,,,,-1,-1
178,,,,-1,-1
176,,,,-1,-1
175,,,,-1,-1
171,,,,-1,-1
175,,,,-1,-1
171,,,,-1,-1
166,,,,-1,-1
165,,,,-1,-1
165,,,,-1,-1
169,,,,-1,-1
171,,,,-1,-1
167,,,,-1,-1
166,,,,-1,-1
166,,,,-1,-1
165,,,,-1,-1
171,,,,-1,-1
165,,,,-1,-1
169,,,,-1,-1
171,,,,-1,-1
166,,,,-1,-1
171,,,,-1,-1
177,,,,-1,-1
169,,,,-1,-1
175,,,,-1,-1
176,,,,-1,-1
169,,,,-1,-1
169,,,,-1,-1
171,,,,-1,-1
171,,,,-1,-1
169,,,,-1,-1
169,,,,-1,-1
169,,,,-1,-1
171,,,,-1,-1
171,,,,-1,-1
169,,,,-1,-1
165,,,,-1,-1
175,,,,-1,-1
175,,,,-1,-1
176,,,,-1,-1
177,,,,-1,-1
171,,,,-1,-1
163,,,,-1,-1
169,,,,-1,-1
175,,,,-1,-1
167,,,,-1,-1
165,,,,-1,-1
169,,,,-1,-1
178,,,,-1,-1
175,,,,-1,-1
171,,,,-1,-1
163,,,,-1,-1
169,,,,-1,-1
169,,,,-1,-1
166,,,,-1,-1
169,,,,-1,-1
171,,,,-1,-1
169,,,,-1,-1
171,,,,-1,-1
169,,,,-1,-1
169,,,,-1,-1
175,,,,-1,-1
171,,,,-1,-1
166,,,,-1,-1
165,,,,-1,-1
166,,,,-1,-1
171,,,,-1,-1
171,,,,-1,-1
175,,,,-1,-1
171,,,,-1,-1
164,,,,-1,-1
175,,,,-1,-1
171,,,,-1,-1
169,,,,-1,-1
171,,,,-1,-1
177,,,,-1,-1
171,,,,-1,-1
175,,,,-1,-1
167,,,,-1,-1
169,,,,-1,-1
169,,,,-1,-1
175,,,,-1,-1
180,,,,-1,-1
175,,,,-1,-1
171,,,,-1,-1
175,,,,-1,-1
171,,,,-1,-1
167,,,,-1,-1
175,,,,-1,-1
167,,,,-1,-1
169,,,,-1,-1
176,,,,-1,-1
176,,,,-1,-1
171,,,,-1,-1
177,,,,-1,-1
167,,,,-1,-1
166,,,,-1,-1
171,,,,-1,-1
175,,,,-1,-1
171,,,,-1,-1
175,,,,-1,-1
171,,,,-1,-1
175,,,,-1,-1
167,,,,-1,-1
169,,,,-1,-1
177,,,,-1,-1
171,,,,-1,-1
176,,,,-1,-1
169,,,,-1,-1
167,,,,-1,-1
171,,,,-1,-1
175,,,,-1,-1
171,,,,-1,-1
178,,,,-1,-1
176,,,,-1,-1
176,,,,-1,-1
175,,,,-1,-1
178,,,,-1,-1
171,,,,-1,-1
180,,,,-1,-1
175,,,,-1,-1
180,,,,-1,-1
175,,,,-1,-1
179,,,,-1,-1
178,,,,-1,-1
178,,,,-1,-1
169,,,,-1,-1
176,,,,-1,-1
181,,,,-1,-1
180,,,,-1,-1
180,,,,-1,-1
179,,,,-1,-1
181,,,,-1,-1
175,,,,-1,-1
178,,,,-1,-1
180,,,,-1,-1
179,,,,-1,-1
180,,,,-1,-1
181,,,,-1,-1
181,,,,-1,-1
178,,,,-1,-1
178,,,,-1,-1
181,,,,-1,-1
187,,,,-1,-1
184,,,,-1,-1
179,,,,-1,-1
176,,,,-1,-1
178,,,,-1,-1
182,,,,-1,-1
177,,,,-1,-1
176,,,,-1,-1
178,,,,-1,-1
179,,,,-1,-1
182,,,,-1,-1
175,,,,-1,-1
185,,,,-1,-1
179,,,,-1,-1
167,,,,-1,-1
182,,,,-1,-1
184,,,,-1,-1
182,,,,-1,-1
179,,,,-1,-1
182,,,,-1,-1
185,,,,-1,-1
178,,,,-1,-1
184,,,,-1,-1
176,,,,-1,-1
178,,,,-1,-1
181,,,,-1,-1
188,,,,-1,-1
175,,,,-1,-1
184,,,,-1,-1
186,,,,-1,-1
184,,,,-1,-1
179,,,,-1,-1
185,,,,-1,-1
181,,,,-1,-1
179,,,,-1,-1
179,,,,-1,-1
184,,,,-1,-1
180,,,,-1,-1
181,,,,-1,-1
185,,,,-1,-1
182,,,,-1,-1
179,,,,-1,-1
184,,,,-1,-1
185,,,,-1,-1
186,,,,-1,-1
175,,,,-1,-1
186,,,,-1,-1
184,,,,-1,-1
180,,,,-1,-1
177,,,,-1,-1
181,,,,-1,-1
188,,,,-1,-1
182,,,,-1,-1
179,,,,-1,-1
177,,,,-1,-1
182,,,,-1,-1
178,,,,-1,-1
180,,,,-1,-1
178,,,,-1,-1
178,,,,-1,-1
179,,,,-1,-1
185,,,,-1,-1
189,,,,-1,-1
182,,,,-1,-1
177,,,,-1,-1
182,,,,-1,-1
182,,,,-1,-1
186,,,,-1,-1
171,,,,-1,-1
179,,,,-1,-1
187,,,,-1,-1
181,,,,-1,-1
177,,,,-1,-1
182,,,,-1,-1
182,,,,-1,-1
182,,,,-1,-1
182,,,,-1,-1
176,,,,-1,-1
179,,,,-1,-1
186,,,,-1,-1
182,,,,-1,-1
176,,,,-1,-1
177,,,,-1,-1
180,,,,-1,-1
185,,,,-1,-1
180,,,,-1,-1
179,,,,-1,-1
186,,,,-1,-1
179,,,,-1,-1
189,,,,-1,-1
189,,,,-1,-1
186,,,,-1,-1
179,,,,-1,-1
179,,,,-1,-1
179,,,,-1,-1
179,,,,-1,-1
179,,,,-1,-1
179,,,,-1,-1
180,,,,-1,-1
186,,,,-1,-1
185,,,,-1,-1
186,,,,-1,-1
181,,,,-1,-1
180,,,,-1,-1
185,,,,-1,-1
180,,,,-1,-1
188,,,,-1,-1
175,,,,-1,-1
179,,,,-1,-1
184,,,,-1,-1
181,,,,-1,-1
180,,,,-1,-1
180,,,,-1,-1
182,,,,-1,-1
186,,,,-1,-1
184,,,,-1,-1
187,,,,-1,-1
182,,,,-1,-1
182,,,,-1,-1
184,,,,-1,-1
187,,,,-1,-1
176,,,,-1,-1
181,,,,-1,-1
182,,,,-1,-1
188,,,,-1,-1
180,,,,-1,-1
185,,,,-1,-1
184,,,,-1,-1
182,,,,-1,-1
180,,,,-1,-1
186,,,,-1,-1
180,,,,-1,-1
185,,,,-1,-1
180,,,,-1,-1
179,,,,-1,-1
181,,,,-1,-1
184,,,,-1,-1
179,,,,-1,-1
185,,,,-1,-1
186,,,,-1,-1
187,,,,-1,-1
181,,,,-1,-1
181,,,,-1,-1
186,,,,-1,-1
187,,,,-1,-1
182,,,,-1,-1
182,,,,-1,-1
181,,,,-1,-1
186,,,,-1,-1
184,,,,-1,-1
180,,,,-1,-1
184,,,,-1,-1
186,,,,-1,-1
187,,,,-1,-1
182,,,,-1,-1
178,,,,-1,-1
182,,,,-1,-1
186,,,,-1,-1
184,,,,-1,-1
188,,,,-1,-1
182,,,,-1,-1
184,,,,-1,-1
185,,,,-1,-1
186,,,,-1,-1
185,,,,-1,-1
181,,,,-1,-1
189,,,,-1,-1
185,,,,-1,-1
186,,,,-1,-1
181,,,,-1,-1
186,,,,-1,-1
182,,,,-1,-1
188,,,,-1,-1
182,,,,-1,-1
185,,,,-1,-1
185,,,,-1,-1
180,,,,-1,-1
186,,,,-1,-1
189,,,,-1,-1
184,,,,-1,-1
187,,,,-1,-1
189,,,,-1,-1
182,,,,-1,-1
184,,,,-1,-1
185,,,,-1,-1
186,,,,-1,-1
188,,,,-1,-1
187,,,,-1,-1
188,,,,-1,-1
186,,,,-1,-1
187,,,,32,21
186,,,,32,-1
185,,,,-1,-1
185,,,,-1,-1
184,,,,-1,-1
192,,,,-1,-1
188,,,,-1,-1
188,,,,-1,-1
185,,,,-1,-1
272,,,,-1,-1
188,,,,-1,-1
189,,,,-1,-1
188,,,,-1,-1
187,,,,-1,-1
187,,,,-1,-1
188,,,,-1,-1
186,,,,-1,-1
188,,,,-1,-1
182,,,,-1,-1
180,,,,-1,-1
192,,,,-1,-1
180,,,,-1,-1
188,,,,-1,-1
186,,,,-1,-1
188,,,,-1,-1
188,,,,-1,-1
179,,,,-1,-1
187,,,,-1,-1
187,,,,-1,-1
188,,,,-1,-1
184,,,,-1,-1
187,,,,-1,-1
186,,,,-1,-1
188,,,,-1,-1
181,,,,-1,-1
188,,,,-1,-1
188,,,,-1,-1
184,,,,-1,-1
188,,,,-1,-1
188,,,,-1,-1
188,,,,-1,-1
189,,,,-1,-1
189,,,,-1,-1
189,,,,-1,-1
188,,,,-1,-1
188,,,,-1,-1
190,,,,-1,-1
188,,,,-1,-1
187,,,,-1,-1
188,,,,-1,-1
188,,,,-1,-1
182,,,,-1,-1
187,,,,-1,-1
189,,,,-1,-1
185,,,,-1,-1
187,,,,32,21
177,,,,-1,-1
186,,,,-1,-1
186,,,,-1,-1
186,,,,-1,-1
188,,,,-1,-1
184,,,,-1,-1
185,,,,-1,-1
186,,,,-1,-1
189,,,,-1,-1
186,,,,-1,-1
188,,,,-1,-1
189,,,,-1,-1
186,,,,-1,-1
188,,,,-1,-1
184,,,,-1,-1
189,,,,-1,-1
189,,,,-1,-1
189,,,,-1,-1
187,,,,-1,-1
188,,,,-1,-1
188,,,,-1,-1
188,,,,-1,-1
188,,,,-1,-1
188,,,,-1,-1
187,,,,-1,-1
188,,,,-1,-1
187,,,,-1,-1
188,,,,-1,-1
188,,,,-1,-1
185,,,,-1,-1
187,,,,-1,-1
188,,,,-1,-1
187,,,,-1,-1
189,,,,-1,-1
188,,,,-1,-1
190,,,,-1,-1
188,,,,-1,-1
187,,,,-1,-1
189,,,,-1,-1
188,,,,-1,-1
188,,,,-1,-1
188,,,,-1,-1
