Magnitude,Uncertainty,Kmag,Cmag,Comp Star 1,Comp Star 2
1,,,,-1,-1
3,,,,40,-1
2,,,,-1,-1
2,,,,-1,-1
2,,,,-1,-1
1,,,,-1,-1
3,,,,-1,-1
3,,,,-1,-1
9,,,,-1,-1
2,,,,-1,-1
6,,,,-1,-1
4,,,,-1,-1
4,,,,-1,-1
6,,,,-1,-1
5,,,,-1,-1
2,,,,-1,-1
3,,,,-1,-1
3,,,,-1,-1
8,,,,-1,-1
2,,,,-1,-1
4,,,,-1,-1
1,,,,-1,-1
8,,,,-1,-1
8,,,,-1,-1
6,,,,-1,-1
7,,,,-1,-1
8,,,,-1,-1
14,,,,40,-1
14,,,,-1,-1
18,,,,-1,-1
8,,,,-1,-1
15,,,,-1,-1
9,,,,-1,-1
10,,,,-1,-1
15,,,,-1,-1
17,,,,-1,-1
18,,,,-1,-1
12,,,,-1,-1
14,,,,-1,-1
21,,,,-1,-1
21,,,,-1,-1
150,,,,-1,-1
23,,,,-1,-1
22,,,,-1,-1
0,,,,-1,-1
156,,,,-1,-1
18,,,,-1,-1
16,,,,-1,-1
20,,,,-1,-1
22,,,,-1,-1
24,,,,-1,-1
27,,,,-1,-1
19,,,,-1,-1
23,,,,-1,-1
23,,,,-1,-1
25,,,,-1,-1
159,,,,40,-1
155,,,,-1,-1
27,,,,-1,-1
157,,,,-1,-1
26,,,,-1,-1
25,,,,-1,-1
26,,,,-1,-1
26,,,,-1,-1
158,,,,-1,-1
28,,,,-1,-1
28,,,,-1,-1
27,,,,40,-1
28,,,,-1,-1
27,,,,-1,-1
27,,,,-1,-1
28,,,,-1,-1
29,,,,-1,-1
30,,,,-1,-1
29,,,,-1,-1
17,,,,-1,-1
28,,,,-1,-1
27,,,,40,-1
28,,,,-1,-1
29,,,,-1,-1
29,,,,-1,-1
31,,,,-1,-1
29,,,,-1,-1
30,,,,-1,-1
28,,,,-1,-1
30,,,,-1,-1
30,,,,-1,-1
164,,,,-1,-1
30,,,,-1,-1
30,,,,-1,-1
27,,,,-1,-1
164,,,,-1,-1
28,,,,-1,-1
28,,,,-1,-1
27,,,,-1,-1
35,,,,-1,-1
30,,,,-1,-1
33,,,,-1,-1
32,,,,-1,-1
35,,,,-1,-1
33,,,,-1,-1
37,,,,40,-1
33,,,,-1,-1
35,,,,-1,-1
35,,,,-1,-1
35,,,,40,-1
36,,,,-1,-1
171,,,,-1,-1
39,,,,-1,-1
36,,,,-1,-1
37,,,,-1,-1
39,,,,-1,-1
39,,,,-1,-1
163,,,,-1,-1
37,,,,-1,-1
40,,,,-1,-1
41,,,,-1,-1
178,,,,-1,-1
42,,,,-1,-1
42,,,,-1,-1
178,,,,-1,-1
45,,,,-1,-1
43,,,,-1,-1
181,,,,-1,-1
178,,,,-1,-1
182,,,,-1,-1
182,,,,-1,-1
163,,,,-1,-1
181,,,,-1,-1
49,,,,-1,-1
60,,,,-1,-1
149,,,,-1,-1
182,,,,-1,-1
195,,,,-1,-1
