Magnitude,Uncertainty,Kmag,Cmag,Comp Star 1,Comp Star 2
545,,,,-1,-1
504,,,,-1,-1
503,,,,-1,-1
503,,,,-1,-1
503,,,,-1,-1
503,,,,-1,-1
503,,,,-1,-1
503,,,,-1,-1
501,,,,-1,-1
503,,,,-1,-1
503,,,,-1,-1
503,,,,-1,-1
502,,,,-1,-1
502,,,,-1,-1
502,,,,-1,-1
502,,,,-1,-1
502,,,,-1,-1
502,,,,-1,-1
501,,,,-1,-1
499,,,,-1,-1
502,,,,-1,-1
501,,,,-1,-1
503,,,,-1,-1
502,,,,-1,-1
500,,,,-1,-1
504,,,,-1,-1
504,,,,-1,-1
500,,,,-1,-1
501,,,,-1,-1
501,,,,-1,-1
498,,,,-1,-1
501,,,,-1,-1
498,,,,-1,-1
501,,,,-1,-1
501,,,,-1,-1
501,,,,-1,-1
502,,,,-1,-1
503,,,,-1,-1
502,,,,-1,-1
501,,,,-1,-1
501,,,,-1,-1
502,,,,-1,-1
502,,,,-1,-1
502,,,,-1,-1
500,,,,-1,-1
502,,,,-1,-1
501,,,,-1,-1
498,,,,-1,-1
502,,,,-1,-1
498,,,,-1,-1
501,,,,-1,-1
499,,,,-1,-1
499,,,,-1,-1
498,,,,-1,-1
501,,,,-1,-1
498,,,,-1,-1
501,,,,-1,-1
501,,,,-1,-1
499,,,,-1,-1
502,,,,-1,-1
501,,,,-1,-1
501,,,,-1,-1
500,,,,-1,-1
499,,,,-1,-1
499,,,,-1,-1
499,,,,-1,-1
502,,,,8,-1
504,,,,-1,-1
503,,,,-1,-1
500,,,,-1,-1
501,,,,-1,-1
503,,,,-1,-1
502,,,,-1,-1
500,,,,-1,-1
502,,,,-1,-1
502,,,,-1,-1
503,,,,-1,-1
502,,,,-1,-1
503,,,,-1,-1
503,,,,-1,-1
503,,,,-1,-1
503,,,,-1,-1
502,,,,-1,-1
501,,,,-1,-1
503,,,,-1,-1
503,,,,-1,-1
501,,,,-1,-1
503,,,,-1,-1
504,,,,-1,-1
503,,,,-1,-1
504,,,,-1,-1
503,,,,-1,-1
505,,,,-1,-1
504,,,,-1,-1
504,,,,-1,-1
507,,,,-1,-1
504,,,,-1,-1
505,,,,-1,-1
505,,,,-1,-1
505,,,,-1,-1
504,,,,-1,-1
506,,,,8,-1
507,,,,-1,-1
508,,,,8,-1
507,,,,-1,-1
507,,,,-1,-1
507,,,,-1,-1
513,,,,-1,-1
508,,,,-1,-1
504,,,,-1,-1
508,,,,8,-1
503,,,,-1,-1
509,,,,-1,-1
505,,,,-1,-1
511,,,,-1,-1
509,,,,-1,-1
509,,,,-1,-1
508,,,,-1,-1
508,,,,-1,-1
508,,,,-1,-1
508,,,,-1,-1
506,,,,-1,-1
508,,,,-1,-1
506,,,,-1,-1
509,,,,-1,-1
505,,,,-1,-1
509,,,,-1,-1
504,,,,-1,-1
508,,,,-1,-1
510,,,,-1,-1
508,,,,-1,-1
506,,,,-1,-1
508,,,,-1,-1
508,,,,-1,-1
510,,,,-1,-1
508,,,,-1,-1
506,,,,-1,-1
509,,,,-1,-1
509,,,,-1,-1
508,,,,-1,-1
509,,,,-1,-1
508,,,,-1,-1
509,,,,-1,-1
508,,,,-1,-1
504,,,,-1,-1
503,,,,-1,-1
503,,,,-1,-1
508,,,,-1,-1
0,,,,-1,-1
507,,,,-1,-1
509,,,,-1,-1
509,,,,-1,-1
507,,,,-1,-1
509,,,,-1,-1
509,,,,-1,-1
505,,,,-1,-1
510,,,,-1,-1
509,,,,-1,-1
511,,,,-1,-1
508,,,,-1,-1
509,,,,-1,-1
511,,,,-1,-1
510,,,,-1,-1
508,,,,-1,-1
510,,,,-1,-1
510,,,,-1,-1
510,,,,-1,-1
510,,,,-1,-1
511,,,,-1,-1
509,,,,-1,-1
511,,,,-1,-1
510,,,,-1,-1
513,,,,-1,-1
511,,,,-1,-1
513,,,,-1,-1
508,,,,-1,-1
510,,,,-1,-1
511,,,,8,-1
507,,,,-1,-1
507,,,,-1,-1
511,,,,-1,-1
511,,,,-1,-1
514,,,,-1,-1
511,,,,-1,-1
513,,,,-1,-1
513,,,,-1,-1
512,,,,-1,-1
511,,,,-1,-1
519,,,,-1,-1
511,,,,-1,-1
509,,,,-1,-1
514,,,,-1,-1
515,,,,-1,-1
507,,,,-1,-1
513,,,,-1,-1
511,,,,-1,-1
511,,,,-1,-1
514,,,,-1,-1
514,,,,-1,-1
513,,,,-1,-1
511,,,,-1,-1
509,,,,-1,-1
518,,,,-1,-1
517,,,,-1,-1
516,,,,-1,-1
511,,,,-1,-1
514,,,,8,-1
515,,,,-1,-1
515,,,,-1,-1
517,,,,-1,-1
510,,,,-1,-1
517,,,,-1,-1
511,,,,-1,-1
514,,,,-1,-1
514,,,,-1,-1
516,,,,8,-1
510,,,,-1,-1
514,,,,-1,-1
517,,,,-1,-1
510,,,,-1,-1
497,,,,-1,-1
515,,,,-1,-1
514,,,,-1,-1
510,,,,-1,-1
513,,,,-1,-1
510,,,,-1,-1
511,,,,-1,-1
511,,,,-1,-1
514,,,,-1,-1
515,,,,-1,-1
514,,,,-1,-1
514,,,,-1,-1
515,,,,-1,-1
514,,,,-1,-1
515,,,,-1,-1
513,,,,-1,-1
518,,,,-1,-1
520,,,,8,-1
518,,,,-1,-1
517,,,,-1,-1
520,,,,8,-1
518,,,,-1,-1
516,,,,-1,-1
515,,,,-1,-1
516,,,,-1,-1
517,,,,-1,-1
519,,,,-1,-1
519,,,,-1,-1
517,,,,-1,-1
517,,,,-1,-1
515,,,,-1,-1
516,,,,-1,-1
520,,,,-1,-1
515,,,,-1,-1
514,,,,-1,-1
514,,,,-1,-1
517,,,,-1,-1
517,,,,-1,-1
516,,,,-1,-1
