Magnitude,Uncertainty,Kmag,Cmag,Comp Star 1,Comp Star 2
48,,,,-1,-1
36,,,,-1,-1
37,,,,-1,-1
2,,,,-1,-1
3,,,,-1,-1
4,,,,-1,-1
2,,,,-1,-1
1,,,,-1,-1
5,,,,-1,-1
6,,,,-1,-1
3,,,,-1,-1
7,,,,-1,-1
9,,,,-1,-1
8,,,,-1,-1
11,,,,-1,-1
58,,,,-1,-1
12,,,,-1,-1
15,,,,-1,-1
14,,,,-1,-1
15,,,,-1,-1
16,,,,-1,-1
58,,,,-1,-1
13,,,,-1,-1
56,,,,-1,-1
58,,,,-1,-1
55,,,,-1,-1
66,,,,-1,-1
58,,,,-1,-1
66,,,,-1,-1
56,,,,-1,-1
58,,,,-1,-1
63,,,,-1,-1
58,,,,-1,-1
63,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
52,,,,-1,-1
52,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
51,,,,-1,-1
56,,,,-1,-1
61,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
52,,,,-1,-1
56,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
41,,,,-1,-1
41,,,,-1,-1
94,,,,-1,-1
93,,,,-1,-1
94,,,,-1,-1
94,,,,-1,-1
52,,,,-1,-1
52,,,,-1,-1
96,,,,-1,-1
41,,,,-1,-1
94,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
41,,,,-1,-1
41,,,,-1,-1
94,,,,-1,-1
38,,,,-1,-1
94,,,,-1,-1
93,,,,-1,-1
52,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
66,,,,-1,-1
56,,,,-1,-1
52,,,,-1,-1
41,,,,-1,-1
40,,,,-1,-1
58,,,,-1,-1
71,,,,-1,-1
63,,,,-1,-1
56,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
56,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
41,,,,-1,-1
58,,,,-1,-1
56,,,,-1,-1
49,,,,-1,-1
56,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
38,,,,-1,-1
96,,,,-1,-1
38,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
44,,,,-1,-1
44,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
52,,,,-1,-1
52,,,,-1,-1
52,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
56,,,,-1,-1
56,,,,-1,-1
46,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
52,,,,-1,-1
56,,,,-1,-1
52,,,,-1,-1
52,,,,-1,-1
56,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
66,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
56,,,,-1,-1
58,,,,-1,-1
52,,,,-1,-1
52,,,,-1,-1
63,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
56,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
63,,,,-1,-1
58,,,,-1,-1
52,,,,-1,-1
52,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
63,,,,-1,-1
58,,,,-1,-1
63,,,,-1,-1
56,,,,-1,-1
63,,,,-1,-1
58,,,,-1,-1
56,,,,-1,-1
58,,,,-1,-1
66,,,,-1,-1
58,,,,-1,-1
52,,,,-1,-1
52,,,,-1,-1
58,,,,-1,-1
63,,,,-1,-1
52,,,,-1,-1
63,,,,-1,-1
58,,,,-1,-1
63,,,,-1,-1
56,,,,-1,-1
52,,,,-1,-1
52,,,,-1,-1
58,,,,-1,-1
66,,,,-1,-1
63,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
63,,,,-1,-1
58,,,,-1,-1
63,,,,-1,-1
56,,,,-1,-1
52,,,,-1,-1
58,,,,-1,-1
63,,,,-1,-1
63,,,,-1,-1
63,,,,-1,-1
63,,,,-1,-1
56,,,,-1,-1
63,,,,-1,-1
56,,,,-1,-1
52,,,,-1,-1
58,,,,-1,-1
63,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
63,,,,-1,-1
63,,,,-1,-1
63,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
66,,,,-1,-1
51,,,,-1,-1
52,,,,-1,-1
52,,,,-1,-1
58,,,,-1,-1
56,,,,-1,-1
63,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
63,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
56,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
52,,,,-1,-1
52,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
63,,,,-1,-1
58,,,,-1,-1
63,,,,-1,-1
58,,,,-1,-1
65,,,,-1,-1
58,,,,-1,-1
52,,,,-1,-1
52,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
63,,,,-1,-1
66,,,,-1,-1
63,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
62,,,,-1,-1
63,,,,-1,-1
48,,,,-1,-1
49,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
63,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
46,,,,-1,-1
58,,,,-1,-1
63,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
44,,,,-1,-1
58,,,,-1,-1
44,,,,-1,-1
63,,,,-1,-1
63,,,,-1,-1
58,,,,-1,-1
63,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
55,,,,-1,-1
63,,,,-1,-1
63,,,,-1,-1
63,,,,-1,-1
52,,,,-1,-1
63,,,,-1,-1
63,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
56,,,,-1,-1
63,,,,-1,-1
58,,,,-1,-1
63,,,,-1,-1
52,,,,-1,-1
63,,,,-1,-1
56,,,,-1,-1
63,,,,-1,-1
56,,,,-1,-1
63,,,,-1,-1
58,,,,-1,-1
63,,,,-1,-1
58,,,,-1,-1
52,,,,-1,-1
52,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
63,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
63,,,,-1,-1
56,,,,-1,-1
52,,,,-1,-1
47,,,,-1,-1
47,,,,-1,-1
63,,,,-1,-1
66,,,,-1,-1
56,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
63,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
52,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
66,,,,-1,-1
71,,,,-1,-1
66,,,,-1,-1
58,,,,-1,-1
52,,,,-1,-1
63,,,,-1,-1
58,,,,-1,-1
66,,,,-1,-1
58,,,,-1,-1
66,,,,-1,-1
71,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
38,,,,-1,-1
66,,,,-1,-1
66,,,,-1,-1
58,,,,-1,-1
56,,,,-1,-1
56,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
63,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
63,,,,-1,-1
63,,,,-1,-1
63,,,,-1,-1
63,,,,-1,-1
55,,,,-1,-1
63,,,,-1,-1
63,,,,-1,-1
63,,,,-1,-1
71,,,,-1,-1
63,,,,-1,-1
66,,,,-1,-1
63,,,,-1,-1
63,,,,-1,-1
66,,,,-1,-1
63,,,,-1,-1
66,,,,-1,-1
63,,,,-1,-1
66,,,,-1,-1
63,,,,-1,-1
66,,,,-1,-1
66,,,,-1,-1
58,,,,-1,-1
66,,,,-1,-1
63,,,,-1,-1
66,,,,-1,-1
63,,,,-1,-1
63,,,,-1,-1
63,,,,-1,-1
58,,,,-1,-1
66,,,,-1,-1
55,,,,-1,-1
66,,,,-1,-1
66,,,,-1,-1
63,,,,-1,-1
66,,,,-1,-1
66,,,,-1,-1
66,,,,-1,-1
66,,,,-1,-1
66,,,,-1,-1
63,,,,-1,-1
66,,,,-1,-1
66,,,,-1,-1
55,,,,-1,-1
55,,,,-1,-1
66,,,,-1,-1
66,,,,-1,-1
58,,,,-1,-1
63,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
66,,,,-1,-1
66,,,,-1,-1
66,,,,-1,-1
66,,,,-1,-1
58,,,,-1,-1
66,,,,-1,-1
66,,,,-1,-1
66,,,,-1,-1
66,,,,-1,-1
66,,,,-1,-1
55,,,,-1,-1
63,,,,-1,-1
63,,,,-1,-1
66,,,,-1,-1
63,,,,-1,-1
66,,,,-1,-1
66,,,,-1,-1
58,,,,-1,-1
66,,,,-1,-1
66,,,,-1,-1
63,,,,-1,-1
52,,,,-1,-1
56,,,,-1,-1
71,,,,-1,-1
66,,,,-1,-1
63,,,,-1,-1
63,,,,-1,-1
63,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
55,,,,-1,-1
55,,,,-1,-1
58,,,,-1,-1
0,,,,-1,-1
58,,,,-1,-1
0,,,,-1,-1
55,,,,-1,-1
58,,,,-1,-1
0,,,,-1,-1
66,,,,-1,-1
52,,,,-1,-1
71,,,,-1,-1
44,,,,-1,-1
52,,,,-1,-1
63,,,,-1,-1
58,,,,-1,-1
66,,,,-1,-1
71,,,,-1,-1
52,,,,-1,-1
55,,,,-1,-1
58,,,,-1,-1
71,,,,-1,-1
71,,,,-1,-1
66,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
63,,,,-1,-1
71,,,,-1,-1
71,,,,-1,-1
58,,,,-1,-1
63,,,,-1,-1
66,,,,-1,-1
71,,,,-1,-1
71,,,,-1,-1
71,,,,-1,-1
71,,,,-1,-1
55,,,,-1,-1
0,,,,-1,-1
63,,,,-1,-1
63,,,,-1,-1
71,,,,-1,-1
71,,,,-1,-1
71,,,,-1,-1
71,,,,-1,-1
71,,,,-1,-1
71,,,,-1,-1
66,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
66,,,,-1,-1
58,,,,-1,-1
63,,,,-1,-1
58,,,,-1,-1
63,,,,-1,-1
58,,,,-1,-1
66,,,,-1,-1
58,,,,-1,-1
66,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
59,,,,-1,-1
58,,,,-1,-1
59,,,,-1,-1
58,,,,-1,-1
59,,,,-1,-1
60,,,,-1,-1
60,,,,-1,-1
55,,,,-1,-1
58,,,,-1,-1
60,,,,-1,-1
60,,,,-1,-1
60,,,,-1,-1
60,,,,-1,-1
60,,,,-1,-1
60,,,,-1,-1
60,,,,-1,-1
71,,,,-1,-1
60,,,,-1,-1
60,,,,-1,-1
71,,,,-1,-1
60,,,,-1,-1
60,,,,-1,-1
66,,,,-1,-1
66,,,,-1,-1
60,,,,-1,-1
63,,,,-1,-1
63,,,,-1,-1
60,,,,-1,-1
60,,,,-1,-1
60,,,,-1,-1
58,,,,-1,-1
63,,,,-1,-1
60,,,,-1,-1
60,,,,-1,-1
60,,,,-1,-1
47,,,,-1,-1
52,,,,-1,-1
58,,,,-1,-1
63,,,,-1,-1
63,,,,-1,-1
60,,,,-1,-1
60,,,,-1,-1
63,,,,-1,-1
60,,,,-1,-1
60,,,,-1,-1
60,,,,-1,-1
60,,,,-1,-1
60,,,,-1,-1
55,,,,-1,-1
58,,,,-1,-1
60,,,,-1,-1
60,,,,-1,-1
60,,,,-1,-1
60,,,,-1,-1
60,,,,-1,-1
60,,,,-1,-1
46,,,,-1,-1
16,,,,-1,-1
60,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
55,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
63,,,,-1,-1
17,,,,-1,-1
63,,,,-1,-1
66,,,,-1,-1
10,,,,-1,-1
66,,,,-1,-1
58,,,,-1,-1
55,,,,-1,-1
58,,,,-1,-1
56,,,,-1,-1
56,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
52,,,,-1,-1
52,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
71,,,,-1,-1
63,,,,-1,-1
58,,,,-1,-1
58,,,,-1,-1
71,,,,-1,-1
71,,,,-1,-1
56,,,,-1,-1
56,,,,-1,-1
63,,,,-1,-1
63,,,,-1,-1
66,,,,-1,-1
58,,,,-1,-1
44,,,,-1,-1
60,,,,20,-1
60,,,,20,-1
65,,,,20,-1
65,,,,20,-1
65,,,,20,-1
60,,,,20,-1
65,,,,20,-1
65,,,,20,-1
65,,,,20,-1
65,,,,20,-1
66,,,,-1,-1
58,,,,-1,-1
66,,,,-1,-1
58,,,,-1,-1
66,,,,-1,-1
63,,,,-1,-1
63,,,,-1,-1
63,,,,-1,-1
66,,,,-1,-1
66,,,,-1,-1
52,,,,-1,-1
44,,,,-1,-1
52,,,,-1,-1
52,,,,-1,-1
71,,,,-1,-1
52,,,,-1,-1
71,,,,-1,-1
52,,,,-1,-1
71,,,,-1,-1
71,,,,-1,-1
