Magnitude,Uncertainty,Kmag,Cmag,Comp Star 1,Comp Star 2
52,,,,-1,-1
54,,,,-1,-1
55,,,,16,17
53,,,,-1,-1
57,,,,12,5
54,,,,12,1
56,,,,12,2
58,,,,12,6
58,,,,12,0
59,0.03,,,-1,-1
61,,,,19,14
67,,,,20,21
60,,,,17,9
63,,,,17,9
57,,,,12,2
64,,,,-1,-1
64,,,,15,6
66,,,,15,6
64,,,,17,9
66,,,,17,4
64,,,,-1,-1
69,,,,-1,-1
64,,,,14,15
64,,,,14,15
66,,,,15,6
65,,,,15,6
62,,,,-1,-1
68,,,,17,3
65,,,,14,15
64,,,,17,5
68,,,,17,7
65,,,,-1,-1
87,,,,13,-1
64,,,,17,5
68,,,,-1,-1
69,,,,18,18
70,,,,-1,-1
70,,,,-1,-1
73,,,,17,9
70,,,,17,7
70,,,,17,8
0,,,,23,19
69,,,,-1,-1
71,,,,-1,-1
72,,,,17,8
0,,,,17,9
73,,,,21,8
74,,,,22,-1
1,,,,17,9
71,,,,-1,-1
4,,,,-1,-1
1,,,,1,10
3,,,,0,20
3,,,,21,9
2,,,,17,9
4,,,,1,10
6,,,,19,16
7,,,,-1,-1
5,,,,1,10
4,,,,-1,-1
7,,,,1,10
8,0.01,,,4,-1
7,,,,-1,-1
9,,,,1,10
10,,,,2,11
11,,,,-1,-1
13,,,,-1,-1
14,,,,-1,-1
10,,,,2,11
13,,,,-1,-1
11,,,,-1,-1
10,,,,3,22
17,,,,19,16
20,,,,-1,-1
14,,,,-1,-1
14,,,,2,11
15,,,,4,-1
14,,,,4,-1
21,,,,-1,-1
18,,,,2,11
21,,,,4,10
16,,,,-1,-1
18,,,,4,10
19,,,,4,-1
23,,,,-1,-1
22,,,,4,-1
24,,,,-1,-1
12,,,,3,22
18,,,,4,10
13,,,,3,22
21,,,,4,10
24,,,,7,13
21,,,,-1,-1
21,,,,2,11
12,,,,4,-1
13,,,,3,22
13,,,,3,22
22,,,,4,10
14,,,,5,23
16,,,,5,23
23,,,,4,10
25,,,,4,10
27,,,,-1,-1
20,,,,5,23
29,,,,4,10
27,,,,-1,-1
26,,,,-1,-1
22,,,,6,24
28,,,,4,10
28,,,,-1,-1
29,,,,-1,-1
27,,,,-1,-1
30,,,,19,16
31,,,,-1,-1
34,,,,4,10
31,,,,4,10
31,,,,-1,-1
33,,,,-1,-1
31,,,,4,10
34,,,,4,11
33,,,,-1,-1
29,,,,-1,-1
78,,,,-1,-1
29,,,,-1,-1
29,,,,4,12
78,,,,-1,-1
33,,,,4,10
32,,,,4,10
34,,,,4,10
41,,,,-1,-1
42,,,,-1,-1
34,,,,4,10
