Magnitude,Uncertainty,Kmag,Cmag,Comp Star 1,Comp Star 2
1264,,,,-1,-1
1051,,,,-1,-1
1053,,,,-1,-1
1053,,,,-1,-1
1054,,,,-1,-1
1053,,,,-1,-1
1052,,,,-1,-1
1067,,,,-1,-1
1067,,,,-1,-1
1059,,,,-1,-1
1062,,,,-1,-1
1059,,,,-1,-1
1085,,,,-1,-1
1070,,,,-1,-1
1056,,,,-1,-1
1071,,,,-1,-1
1084,,,,-1,-1
1078,,,,-1,-1
1087,,,,-1,-1
1087,,,,-1,-1
1062,,,,-1,-1
1067,,,,-1,-1
1067,,,,-1,-1
1059,,,,-1,-1
1054,,,,-1,-1
1062,,,,-1,-1
1080,,,,-1,-1
1057,,,,-1,-1
1073,,,,-1,-1
1055,,,,-1,-1
1087,,,,-1,-1
1053,,,,-1,-1
1067,,,,-1,-1
1073,,,,-1,-1
1062,,,,-1,-1
1073,,,,-1,-1
1080,,,,-1,-1
1058,,,,-1,-1
1059,,,,-1,-1
1067,,,,-1,-1
1062,,,,-1,-1
1062,,,,-1,-1
1073,,,,-1,-1
1053,,,,-1,-1
1087,,,,-1,-1
1067,,,,-1,-1
1067,,,,-1,-1
1067,,,,-1,-1
1056,,,,-1,-1
1073,,,,-1,-1
1073,,,,-1,-1
1062,,,,-1,-1
1062,,,,-1,-1
1059,,,,-1,-1
1058,,,,-1,-1
1067,,,,-1,-1
1071,,,,-1,-1
1059,,,,-1,-1
1056,,,,-1,-1
1071,,,,-1,-1
1067,,,,-1,-1
1056,,,,-1,-1
1067,,,,-1,-1
1076,,,,-1,-1
1071,,,,-1,-1
1071,,,,-1,-1
1067,,,,-1,-1
1071,,,,-1,-1
1055,,,,-1,-1
1080,,,,-1,-1
1062,,,,-1,-1
1058,,,,-1,-1
1060,,,,-1,-1
1087,,,,-1,-1
1053,,,,-1,-1
1067,,,,-1,-1
1067,,,,-1,-1
1062,,,,-1,-1
1073,,,,-1,-1
1080,,,,-1,-1
1111,,,,-1,-1
1087,,,,-1,-1
1056,,,,-1,-1
1062,,,,-1,-1
1071,,,,-1,-1
1101,,,,-1,-1
1066,,,,-1,-1
1073,,,,-1,-1
1073,,,,-1,-1
1067,,,,-1,-1
1092,,,,-1,-1
1080,,,,-1,-1
1055,,,,-1,-1
1087,,,,-1,-1
1092,,,,-1,-1
1078,,,,-1,-1
1080,,,,-1,-1
1087,,,,-1,-1
1073,,,,-1,-1
1101,,,,-1,-1
1092,,,,-1,-1
1092,,,,-1,-1
1080,,,,-1,-1
1106,,,,-1,-1
1106,,,,-1,-1
1080,,,,-1,-1
1087,,,,-1,-1
1092,,,,-1,-1
1101,,,,-1,-1
1071,,,,-1,-1
1106,,,,-1,-1
1115,,,,-1,-1
1106,,,,-1,-1
1080,,,,-1,-1
1092,,,,-1,-1
1101,,,,-1,-1
1101,,,,-1,-1
1087,,,,-1,-1
1101,,,,-1,-1
1080,,,,-1,-1
1080,,,,-1,-1
1101,,,,-1,-1
1087,,,,-1,-1
1062,,,,-1,-1
1073,,,,-1,-1
1092,,,,-1,-1
1106,,,,-1,-1
1092,,,,-1,-1
1101,,,,-1,-1
1101,,,,-1,-1
1087,,,,-1,-1
1086,,,,-1,-1
1092,,,,-1,-1
1087,,,,-1,-1
1101,,,,-1,-1
1111,,,,-1,-1
1087,,,,-1,-1
1101,,,,-1,-1
1080,,,,-1,-1
1080,,,,-1,-1
1106,,,,-1,-1
1111,,,,-1,-1
1101,,,,-1,-1
1101,,,,-1,-1
1106,,,,-1,-1
1080,,,,-1,-1
1101,,,,-1,-1
1092,,,,-1,-1
1062,,,,-1,-1
1062,,,,-1,-1
1080,,,,-1,-1
1092,,,,-1,-1
1092,,,,-1,-1
1073,,,,-1,-1
1080,,,,-1,-1
1101,,,,-1,-1
1080,,,,-1,-1
1101,,,,-1,-1
1101,,,,-1,-1
1100,,,,-1,-1
1101,,,,-1,-1
1074,,,,-1,-1
1106,,,,-1,-1
1080,,,,-1,-1
1095,,,,-1,-1
1106,,,,-1,-1
1105,,,,-1,-1
1101,,,,-1,-1
1101,,,,-1,-1
1087,,,,-1,-1
1092,,,,-1,-1
1111,,,,-1,-1
1092,,,,-1,-1
1101,,,,-1,-1
1101,,,,-1,-1
1101,,,,-1,-1
1101,,,,-1,-1
1080,,,,-1,-1
1101,,,,-1,-1
1092,,,,-1,-1
1115,,,,-1,-1
1106,,,,-1,-1
1101,,,,-1,-1
1106,,,,-1,-1
1101,,,,-1,-1
1106,,,,-1,-1
1101,,,,-1,-1
1073,,,,-1,-1
1092,,,,-1,-1
1080,,,,-1,-1
1101,,,,-1,-1
1101,,,,-1,-1
