Magnitude,Uncertainty,Kmag,Cmag,Comp Star 1,Comp Star 2
345,,,,26,22
327,,,,-1,-1
332,,,,-1,-1
336,,,,-1,-1
364,,,,-1,-1
350,,,,26,22
369,,,,32,22
370,,,,3,5
351,,,,3,5
395,,,,3,5
382,,,,3,5
352,,,,3,5
400,,,,3,5
377,,,,32,26
383,,,,26,24
356,,,,26,24
459,,,,31,21
374,,,,-1,-1
369,,,,-1,-1
374,,,,31,24
383,,,,32,27
357,,,,26,22
350,,,,26,22
368,,,,3,5
344,,,,3,5
386,,,,3,5
367,,,,3,5
342,,,,3,5
383,,,,3,5
361,,,,-1,-1
359,,,,-1,-1
361,,,,-1,-1
363,,,,-1,-1
360,,,,-1,-1
358,,,,-1,-1
360,,,,-1,-1
360,,,,-1,-1
359,,,,-1,-1
359,,,,-1,-1
360,,,,-1,-1
360,,,,-1,-1
360,,,,-1,-1
358,,,,-1,-1
359,,,,-1,-1
360,,,,-1,-1
358,,,,-1,-1
359,,,,-1,-1
359,,,,-1,-1
359,,,,-1,-1
360,,,,-1,-1
365,,,,26,22
369,,,,31,24
369,,,,26,24
355,,,,26,-1
328,,,,28,-1
379,,,,27,-1
345,,,,24,21
326,,,,38,30
331,,,,38,30
350,,,,26,24
350,,,,26,22
346,,,,26,-1
347,,,,3,5
333,,,,3,5
353,,,,3,5
349,,,,3,5
334,,,,3,5
354,,,,3,5
374,,,,32,26
375,,,,3,5
343,,,,3,5
384,,,,3,5
372,,,,3,5
339,,,,3,5
381,,,,3,5
329,,,,30,1
335,,,,29,3
358,,,,25,6
387,,,,23,8
361,,,,25,6
335,,,,29,3
330,,,,30,1
338,,,,3,5
369,,,,3,5
376,,,,3,5
340,,,,3,5
371,,,,3,5
380,,,,3,5
384,,,,26,-1
390,,,,3,5
391,,,,3,5
395,,,,3,5
388,,,,26,-1
393,,,,3,5
348,,,,3,5
394,,,,-1,-1
398,,,,3,5
378,,,,3,5
341,,,,3,5
385,,,,3,5
383,,,,-1,-1
383,,,,32,26
377,,,,26,24
392,,,,26,-1
383,,,,-1,-1
383,,,,32,26
394,,,,32,26
389,,,,32,26
402,,,,-1,-1
417,,,,1,27
397,,,,3,-1
397,,,,3,-1
394,,,,26,27
423,,,,-1,-1
397,,,,32,0
337,,,,2,25
351,,,,4,28
405,,,,6,4
422,,,,9,14
394,,,,26,27
427,,,,34,2
409,,,,37,29
14,,,,-1,-1
427,,,,-1,-1
416,,,,3,-1
416,,,,33,23
14,,,,-1,-1
428,,,,3,5
362,,,,3,5
426,,,,3,5
2,,,,35,0
427,,,,3,27
429,,,,3,5
424,,,,3,5
366,,,,3,5
417,,,,-1,-1
417,,,,3,-1
14,,,,35,0
32,,,,-1,-1
2,,,,34,0
416,,,,-1,-1
427,,,,34,0
2,,,,35,0
409,,,,3,27
409,,,,-1,-1
32,,,,-1,-1
416,,,,3,27
423,,,,37,29
425,,,,3,5
373,,,,3,5
427,,,,3,5
17,,,,-1,-1
14,,,,1,2
40,,,,3,5
32,,,,-1,-1
69,,,,5,7
90,,,,3,-1
39,,,,-1,-1
56,,,,26,-1
122,,,,3,-1
87,,,,3,5
72,,,,3,5
46,,,,5,7
32,,,,1,2
42,,,,3,5
396,,,,3,5
35,,,,3,5
54,,,,3,5
399,,,,3,5
45,,,,3,5
46,,,,-1,-1
