Magnitude,Uncertainty,Kmag,Cmag,Comp Star 1,Comp Star 2
60,,,,-1,-1
61,,,,-1,-1
59,,,,-1,-1
63,,,,-1,-1
60,,,,-1,-1
62,,,,-1,-1
64,,,,-1,-1
66,,,,-1,-1
66,,,,28,-1
65,,,,-1,-1
63,,,,-1,-1
43,,,,-1,-1
65,,,,-1,-1
65,,,,-1,-1
66,,,,-1,-1
67,,,,-1,-1
71,,,,-1,-1
68,,,,-1,-1
75,,,,-1,-1
74,,,,-1,-1
73,,,,-1,-1
69,,,,-1,-1
75,,,,-1,-1
70,,,,-1,-1
73,,,,-1,-1
65,,,,-1,-1
78,,,,-1,-1
76,,,,-1,-1
78,,,,-1,-1
76,,,,-1,-1
72,,,,-1,-1
78,,,,-1,-1
76,,,,-1,-1
0,,,,-1,-1
83,,,,-1,-1
76,,,,-1,-1
76,,,,-1,-1
66,,,,-1,-1
74,,,,-1,-1
73,,,,-1,-1
71,,,,-1,-1
71,,,,-1,-1
1,,,,-1,-1
76,,,,-1,-1
78,,,,-1,-1
79,,,,-1,-1
0,,,,-1,-1
77,,,,-1,-1
80,,,,-1,-1
77,,,,-1,-1
82,,,,-1,-1
81,,,,-1,-1
80,,,,-1,-1
125,,,,-1,-1
80,,,,-1,-1
78,,,,-1,-1
79,,,,26,1
75,,,,-1,-1
82,,,,-1,-1
1,,,,-1,-1
81,,,,-1,-1
1,,,,-1,-1
84,,,,-1,-1
83,,,,-1,-1
80,,,,-1,-1
81,,,,-1,-1
6,,,,29,-1
84,,,,-1,-1
3,,,,-1,-1
8,,,,-1,-1
6,,,,-1,-1
1,,,,-1,-1
84,,,,-1,-1
82,,,,-1,-1
5,,,,-1,-1
7,,,,-1,-1
0,,,,-1,-1
4,,,,-1,-1
4,,,,1,3
11,,,,-1,-1
8,,,,-1,-1
5,,,,-1,-1
5,,,,-1,-1
5,,,,-1,-1
5,,,,-1,-1
3,,,,-1,-1
1,,,,-1,-1
2,,,,-1,-1
8,,,,-1,-1
12,,,,-1,-1
11,,,,-1,-1
6,,,,-1,-1
9,,,,-1,-1
4,,,,-1,-1
5,,,,-1,-1
9,,,,-1,-1
8,,,,-1,-1
12,,,,-1,-1
4,,,,-1,-1
10,,,,-1,-1
8,,,,-1,-1
17,,,,-1,-1
16,,,,-1,-1
11,,,,-1,-1
16,,,,30,-1
14,,,,-1,-1
14,,,,3,5
16,,,,-1,-1
15,,,,-1,-1
16,,,,-1,-1
19,,,,-1,-1
17,,,,-1,-1
21,,,,-1,-1
21,,,,-1,-1
126,,,,-1,-1
14,,,,-1,-1
16,,,,-1,-1
18,,,,-1,-1
13,,,,-1,-1
20,,,,5,6
21,,,,-1,-1
21,,,,-1,-1
19,,,,-1,-1
18,,,,-1,-1
14,,,,-1,-1
12,,,,-1,-1
17,,,,-1,-1
18,,,,-1,-1
18,,,,-1,-1
19,,,,-1,-1
16,,,,-1,-1
16,,,,-1,-1
23,,,,-1,-1
18,,,,-1,-1
96,,,,-1,-1
21,,,,-1,-1
22,,,,-1,-1
23,,,,-1,-1
29,,,,-1,-1
24,,,,-1,-1
22,,,,-1,-1
23,,,,5,6
25,,,,-1,-1
18,,,,-1,-1
21,,,,-1,-1
20,,,,-1,-1
18,,,,-1,-1
21,,,,-1,-1
25,,,,-1,-1
26,,,,-1,-1
24,,,,-1,-1
20,,,,-1,-1
20,,,,-1,-1
25,,,,-1,-1
21,,,,-1,-1
21,,,,-1,-1
23,,,,-1,-1
34,,,,-1,-1
25,,,,-1,-1
29,,,,-1,-1
25,,,,-1,-1
25,,,,-1,-1
27,,,,31,-1
24,,,,-1,-1
29,,,,-1,-1
26,,,,-1,-1
26,,,,-1,-1
28,,,,-1,-1
26,,,,7,7
24,,,,-1,-1
27,,,,-1,-1
29,,,,-1,-1
