Magnitude,Uncertainty,Kmag,Cmag,Comp Star 1,Comp Star 2
13,,,,-1,-1
11,,,,-1,-1
13,,,,-1,-1
60,,,,-1,-1
13,,,,-1,-1
16,,,,-1,-1
16,,,,-1,-1
60,,,,-1,-1
13,,,,-1,-1
18,,,,-1,-1
60,,,,-1,-1
12,,,,-1,-1
26,,,,-1,-1
23,,,,-1,-1
14,,,,-1,-1
18,,,,-1,-1
47,,,,-1,-1
18,,,,-1,-1
19,,,,-1,-1
56,,,,5,-1
18,,,,-1,-1
56,,,,5,-1
16,,,,-1,-1
21,,,,-1,-1
9,,,,-1,-1
10,,,,-1,-1
10,,,,-1,-1
12,,,,-1,-1
9,,,,-1,-1
48,,,,-1,-1
9,,,,-1,-1
16,,,,-1,-1
10,,,,-1,-1
13,,,,-1,-1
10,,,,-1,-1
9,,,,-1,-1
13,,,,-1,-1
9,,,,-1,-1
6,,,,-1,-1
6,,,,-1,-1
9,,,,-1,-1
4,,,,-1,-1
4,,,,-1,-1
11,,,,-1,-1
10,,,,-1,-1
6,,,,-1,-1
6,,,,-1,-1
11,,,,-1,-1
9,,,,-1,-1
11,,,,-1,-1
60,,,,-1,-1
10,,,,-1,-1
4,,,,-1,-1
3,,,,-1,-1
2,,,,-1,-1
1,,,,-1,-1
3,,,,-1,-1
4,,,,-1,-1
5,,,,-1,-1
3,,,,-1,-1
1,,,,-1,-1
6,,,,-1,-1
6,,,,-1,-1
4,,,,-1,-1
3,,,,-1,-1
0,,,,-1,-1
4,,,,-1,-1
0,,,,-1,-1
4,,,,-1,-1
8,,,,-1,-1
4,,,,-1,-1
0,,,,-1,-1
5,,,,-1,-1
45,,,,-1,-1
3,,,,-1,-1
8,,,,-1,-1
1,,,,-1,-1
1,,,,5,-1
4,,,,-1,-1
3,,,,-1,-1
6,,,,5,-1
3,,,,-1,-1
6,,,,5,-1
8,,,,-1,-1
3,,,,-1,-1
11,,,,-1,-1
3,,,,-1,-1
12,,,,-1,-1
13,,,,-1,-1
11,,,,-1,-1
3,,,,5,-1
12,,,,-1,-1
12,,,,-1,-1
7,,,,5,-1
13,,,,-1,-1
13,,,,-1,-1
13,,,,-1,-1
23,,,,5,-1
20,,,,-1,-1
17,,,,-1,-1
12,,,,-1,-1
21,,,,5,-1
15,,,,-1,-1
16,,,,-1,-1
19,,,,-1,-1
17,,,,-1,-1
18,,,,-1,-1
20,,,,-1,-1
17,,,,-1,-1
23,,,,-1,-1
17,,,,-1,-1
24,,,,-1,-1
19,,,,-1,-1
21,,,,-1,-1
23,,,,-1,-1
18,,,,-1,-1
21,,,,5,-1
16,,,,-1,-1
17,,,,-1,-1
31,,,,5,-1
23,,,,-1,-1
17,,,,-1,-1
18,,,,-1,-1
23,,,,-1,-1
16,,,,-1,-1
18,,,,-1,-1
15,,,,-1,-1
9,,,,-1,-1
11,,,,5,-1
5,,,,-1,-1
13,,,,-1,-1
6,,,,5,-1
13,,,,-1,-1
12,,,,-1,-1
4,,,,-1,-1
13,,,,-1,-1
13,,,,-1,-1
3,,,,-1,-1
9,,,,5,-1
8,,,,-1,-1
15,,,,-1,-1
14,,,,-1,-1
14,,,,-1,-1
9,,,,-1,-1
8,,,,-1,-1
13,,,,-1,-1
9,,,,-1,-1
9,,,,-1,-1
13,,,,-1,-1
12,,,,-1,-1
12,,,,-1,-1
16,,,,-1,-1
19,,,,-1,-1
20,,,,-1,-1
14,,,,-1,-1
16,,,,-1,-1
13,,,,-1,-1
13,,,,-1,-1
18,,,,-1,-1
18,,,,5,-1
8,,,,-1,-1
14,,,,5,-1
12,,,,-1,-1
14,,,,-1,-1
16,,,,-1,-1
