Magnitude,Uncertainty,Kmag,Cmag,Comp Star 1,Comp Star 2
51,,,,-1,-1
53,,,,-1,-1
52,,,,-1,-1
53,,,,-1,-1
53,,,,-1,-1
59,,,,-1,-1
58,,,,-1,-1
57,,,,-1,-1
59,,,,11,-1
58,,,,11,-1
57,,,,-1,-1
62,,,,-1,-1
60,,,,-1,-1
57,,,,-1,-1
57,,,,11,-1
65,,,,-1,-1
56,,,,-1,-1
58,,,,11,-1
55,,,,-1,-1
61,,,,-1,-1
57,,,,11,-1
56,,,,-1,-1
58,,,,-1,-1
55,,,,-1,-1
53,,,,-1,-1
55,,,,-1,-1
54,,,,-1,-1
57,,,,11,-1
57,,,,-1,-1
55,,,,9,-1
56,,,,-1,-1
55,,,,-1,-1
56,,,,-1,-1
61,,,,-1,-1
61,,,,11,-1
57,,,,-1,-1
63,,,,-1,-1
1,,,,-1,-1
62,,,,-1,-1
62,,,,11,-1
62,,,,11,-1
58,,,,-1,-1
60,,,,-1,-1
62,,,,11,-1
67,,,,-1,-1
1,,,,-1,-1
1,,,,-1,-1
61,,,,-1,-1
65,,,,11,-1
63,,,,-1,-1
67,,,,-1,-1
1,,,,-1,-1
64,,,,-1,-1
62,,,,11,-1
63,,,,-1,-1
64,,,,-1,-1
61,,,,-1,-1
60,,,,-1,-1
61,,,,-1,-1
60,,,,-1,-1
54,,,,-1,-1
61,,,,-1,-1
58,,,,-1,-1
58,,,,9,0
62,,,,-1,-1
57,,,,-1,-1
62,,,,11,-1
60,,,,-1,-1
62,,,,10,-1
0,,,,-1,-1
4,,,,-1,-1
67,,,,-1,-1
59,,,,11,-1
62,,,,-1,-1
62,,,,10,-1
67,,,,-1,-1
91,,,,-1,-1
61,,,,-1,-1
64,,,,-1,-1
1,,,,-1,-1
5,,,,-1,-1
1,,,,-1,-1
64,,,,11,-1
6,,,,11,-1
6,,,,1,-1
6,,,,-1,-1
91,,,,-1,-1
4,,,,-1,-1
4,,,,-1,-1
6,,,,-1,-1
64,,,,-1,-1
62,,,,-1,-1
1,,,,-1,-1
1,,,,-1,-1
4,,,,-1,-1
91,,,,-1,-1
91,,,,-1,-1
6,,,,1,-1
6,,,,-1,-1
60,,,,-1,-1
6,,,,-1,-1
1,,,,-1,-1
7,,,,-1,-1
7,,,,-1,-1
7,,,,-1,-1
