Magnitude,Uncertainty,Kmag,Cmag,Comp Star 1,Comp Star 2
0,,,,-1,-1
1,,,,-1,-1
2,,,,-1,-1
4,,,,-1,-1
5,,,,-1,-1
3,,,,-1,-1
7,,,,-1,-1
0,,,,-1,-1
6,,,,-1,-1
6,,,,-1,-1
26,,,,-1,-1
7,,,,-1,-1
8,,,,-1,-1
9,,,,-1,-1
10,,,,-1,-1
28,,,,-1,-1
12,,,,-1,-1
28,,,,-1,-1
11,,,,-1,-1
28,,,,-1,-1
30,,,,-1,-1
30,,,,-1,-1
13,,,,-1,-1
11,,,,-1,-1
12,,,,-1,-1
27,,,,-1,-1
27,,,,-1,-1
30,,,,1,-1
36,,,,-1,-1
30,,,,1,-1
30,,,,1,-1
30,,,,1,-1
28,,,,1,-1
30,,,,1,-1
29,,,,1,-1
30,,,,1,-1
33,,,,-1,-1
30,,,,1,-1
28,,,,1,-1
30,,,,1,-1
21,,,,-1,-1
19,,,,-1,-1
20,,,,-1,-1
33,,,,-1,-1
21,,,,-1,-1
35,,,,-1,-1
31,,,,-1,-1
31,,,,-1,-1
31,,,,-1,-1
31,,,,-1,-1
31,,,,-1,-1
31,,,,-1,-1
31,,,,-1,-1
31,,,,-1,-1
35,,,,-1,-1
31,,,,-1,-1
32,,,,-1,-1
31,,,,-1,-1
31,,,,-1,-1
21,,,,-1,-1
35,,,,-1,-1
31,,,,-1,-1
34,,,,-1,-1
35,,,,-1,-1
35,,,,-1,-1
35,,,,-1,-1
23,0.13,12.48,,0,0
16,0.058,12.058,,0,0
25,0.165,12.484,,0,0
17,0.077,12.068,,0,0
22,0.186,12.568,,0,0
18,0.077,12.045,,0,0
24,0.133,12.483,,0,0
15,0.069,12.053,,0,0
14,0.112,12.118,,0,0
